,Date,Type,Total,Total for Shares,Price per share,Year,"B,S,D,O",Stock Name,Float Total
46,Aug 25,Velodyne Lidar Market SellAug 25,$75.6510 shares at $7.57,$75.6,$7.57,2021,Sell,Velodyne Lidar ,75.6
47,Aug 25,Taiwan Semiconductor Manufacturing Market SellAug 25,$117.961 share at $117.96,$117.9,$117.96,2021,Sell,Taiwan Semiconductor Manufacturing ,117.9
48,Aug 25,Taiwan Semiconductor Manufacturing Market SellAug 25,$116.761 share at $116.76,$116.7,$116.76,2021,Sell,Taiwan Semiconductor Manufacturing ,116.7
49,Aug 24,VanEck Vectors Oil Services ETF Market SellAug 24,$183.241 share at $183.24,$183.2,$183.24,2021,Sell,VanEck Vectors Oil Services ETF ,183.2
50,Aug 24,Clean Energy Fuels Market SellAug 24,$77.2010 shares at $7.72,$77.2,$7.72,2021,Sell,Clean Energy Fuels ,77.2
51,Aug 24,Nexa Resources Market SellAug 24,$81.6510 shares at $8.17,$81.6,$8.17,2021,Sell,Nexa Resources ,81.6
52,Aug 24,Magna Market SellAug 24,$40.430.5 shares at $80.86,$40.4,$80.86,2021,Sell,Magna ,40.4
53,Aug 24,Nexa Resources Limit SellAug 24,$78.2010 shares at $7.82,$78.2,$7.82,2021,Sell,Nexa Resources ,78.2
54,Aug 24,QuantumScape Market SellAug 24,$21.101 share at $21.10,$21.1,$21.10,2021,Sell,QuantumScape ,21.1
55,Aug 24,Trinseo Market SellAug 24,$48.561 share at $48.56,$48.5,$48.56,2021,Sell,Trinseo ,48.5
56,Aug 24,Dupont De Nemours Market SellAug 24,$37.390.5 shares at $74.78,$37.3,$74.78,2021,Sell,Dupont De Nemours ,37.3
57,Aug 24,Huntsman Market SellAug 24,$25.561 share at $25.56,$25.5,$25.56,2021,Sell,Huntsman ,25.5
58,Aug 24,Nexa Resources Limit SellAug 24,$176.1823 shares at $7.66,$176.1,$7.66,2021,Sell,Nexa Resources ,176.1
59,Aug 24,Qualcomm Market SellAug 24,$72.720.5 shares at $145.44,$72.7,$145.44,2021,Sell,Qualcomm ,72.7
60,Aug 24,Nexa Resources Limit SellAug 24,$113.8515 shares at $7.59,$113.8,$7.59,2021,Sell,Nexa Resources ,113.8
61,Aug 24,U.S. Xpress Market SellAug 24,$136.2715 shares at $9.08,$136.2,$9.08,2021,Sell,U.S. Xpress ,136.2
62,Aug 24,Nexa Resources Market SellAug 24,$112.2815 shares at $7.49,$112.2,$7.49,2021,Sell,Nexa Resources ,112.2
63,Aug 24,Porsche Limit SellAug 24,$30.123 shares at $10.04,$30.1,$10.04,2021,Sell,Porsche ,30.1
64,Aug 24,ARK Innovation ETF Market SellAug 24,$121.051 share at $121.05,$121.0,$121.05,2021,Sell,ARK Innovation ETF ,121.0
65,Aug 24,CIGNA Corporation Market SellAug 24,$106.070.5 shares at $212.14,$106.0,$212.14,2021,Sell,CIGNA Corporation ,106.0
66,Aug 24,Airbnb Market SellAug 24,$78.840.5 shares at $157.68,$78.8,$157.68,2021,Sell,Airbnb ,78.8
67,Aug 24,Dow Market SellAug 24,$63.271 share at $63.27,$63.2,$63.27,2021,Sell,Dow ,63.2
68,Aug 24,Southwest Airlines Market SellAug 24,$50.241 share at $50.24,$50.2,$50.24,2021,Sell,Southwest Airlines ,50.2
69,Aug 24,Azul Airlines Limit SellAug 24,$174.808 shares at $21.85,$174.8,$21.85,2021,Sell,Azul Airlines ,174.8
70,Aug 24,Canadian Solar Market SellAug 24,$53.951.5 shares at $35.97,$53.9,$35.97,2021,Sell,Canadian Solar ,53.9
71,Aug 24,Airbnb Market SellAug 24,$77.480.5 shares at $154.96,$77.4,$154.96,2021,Sell,Airbnb ,77.4
72,Aug 24,Plug Power Limit SellAug 24,$260.5010 shares at $26.05,$260.5,$26.05,2021,Sell,Plug Power ,260.5
73,Aug 24,Bloom Energy Market SellAug 24,$212.0710 shares at $21.21,$212.0,$21.21,2021,Sell,Bloom Energy ,212.0
74,Aug 24,Ballard Power Systems Market SellAug 24,$165.5210 shares at $16.55,$165.5,$16.55,2021,Sell,Ballard Power Systems ,165.5
76,Aug 24,Clean Energy Fuels Limit SellAug 24,$112.3615 shares at $7.49,$112.3,$7.49,2021,Sell,Clean Energy Fuels ,112.3
77,Aug 24,Nexa Resources Limit SellAug 24,$109.5015 shares at $7.30,$109.5,$7.30,2021,Sell,Nexa Resources ,109.5
78,Aug 24,Airbnb Market SellAug 24,$75.570.5 shares at $151.14,$75.5,$151.14,2021,Sell,Airbnb ,75.5
79,Aug 24,Clean Energy Fuels Limit SellAug 24,$74.0010 shares at $7.40,$74.0,$7.40,2021,Sell,Clean Energy Fuels ,74.0
80,Aug 24,Plug Power Market SellAug 24,$77.483 shares at $25.83,$77.4,$25.83,2021,Sell,Plug Power ,77.4
81,Aug 24,Hyliion Market SellAug 24,$92.5010 shares at $9.25,$92.5,$9.25,2021,Sell,Hyliion ,92.5
82,Aug 23,Energizer Market BuyAug 23,$39.021 share at $39.02,$39.0,$39.02,2021,Buy,Energizer ,39.0
83,Aug 23,Hyliion Market SellAug 23,$44.635 shares at $8.93,$44.6,$8.93,2021,Sell,Hyliion ,44.6
84,Aug 23,Eastman Chemical Market SellAug 23,$112.051 share at $112.05,$112.0,$112.05,2021,Sell,Eastman Chemical ,112.0
85,Aug 23,Desktop Metal Limit SellAug 23,$82.1010 shares at $8.21,$82.1,$8.21,2021,Sell,Desktop Metal ,82.1
86,Aug 23,Taiwan Semiconductor Manufacturing Market SellAug 23,$111.201 share at $111.20,$111.2,$111.20,2021,Sell,Taiwan Semiconductor Manufacturing ,111.2
87,Aug 23,Hyliion Limit SellAug 23,$87.9510 shares at $8.80,$87.9,$8.80,2021,Sell,Hyliion ,87.9
88,Aug 23,Bloom Energy Market SellAug 23,$104.605 shares at $20.92,$104.6,$20.92,2021,Sell,Bloom Energy ,104.6
89,Aug 23,Ballard Power Systems Market SellAug 23,$160.7010 shares at $16.07,$160.7,$16.07,2021,Sell,Ballard Power Systems ,160.7
90,Aug 23,Bloom Energy Market SellAug 23,$103.685 shares at $20.74,$103.6,$20.74,2021,Sell,Bloom Energy ,103.6
91,Aug 23,Plug Power Market SellAug 23,$125.405 shares at $25.08,$125.4,$25.08,2021,Sell,Plug Power ,125.4
92,Aug 23,Sunrun Market SellAug 23,$44.271 share at $44.27,$44.2,$44.27,2021,Sell,Sunrun ,44.2
93,Aug 23,Intel Market SellAug 23,$106.972 shares at $53.49,$106.9,$53.49,2021,Sell,Intel ,106.9
94,Aug 23,ARK Genomic Revolution ETF Market SellAug 23,$164.872 shares at $82.44,$164.8,$82.44,2021,Sell,ARK Genomic Revolution ETF ,164.8
95,Aug 23,ARK Innovation ETF Market SellAug 23,$119.211 share at $119.21,$119.2,$119.21,2021,Sell,ARK Innovation ETF ,119.2
96,Aug 23,ARK Next Generation Internet Market SellAug 23,$74.230.5 shares at $148.46,$74.2,$148.46,2021,Sell,ARK Next Generation Internet ,74.2
97,Aug 23,ARK Autonomous Technology & Robotics Market SellAug 23,$40.150.5 shares at $80.30,$40.1,$80.30,2021,Sell,ARK Autonomous Technology & Robotics ,40.1
98,Aug 23,Azul Airlines Limit SellAug 23,$144.837 shares at $20.69,$144.8,$20.69,2021,Sell,Azul Airlines ,144.8
99,Aug 23,Enphase Energy Market SellAug 23,$85.230.5 shares at $170.46,$85.2,$170.46,2021,Sell,Enphase Energy ,85.2
100,Aug 23,CRISPR Market SellAug 23,$124.161 share at $124.16,$124.1,$124.16,2021,Sell,CRISPR ,124.1
101,Aug 23,Ballard Power Systems Limit SellAug 23,$159.6010 shares at $15.96,$159.6,$15.96,2021,Sell,Ballard Power Systems ,159.6
102,Aug 23,Hyliion Limit SellAug 23,$129.5315 shares at $8.64,$129.5,$8.64,2021,Sell,Hyliion ,129.5
103,Aug 23,Desktop Metal Limit SellAug 23,$118.2015 shares at $7.88,$118.2,$7.88,2021,Sell,Desktop Metal ,118.2
104,Aug 23,U.S. Xpress Limit BuyAug 23,$135.7515 shares at $9.05,$135.7,$9.05,2021,Buy,U.S. Xpress ,135.7
106,Aug 23,Velodyne Lidar Limit SellAug 23,$72.2510 shares at $7.23,$72.2,$7.23,2021,Sell,Velodyne Lidar ,72.2
107,Aug 23,Lam Research Market SellAug 23,$116.670.2 shares at $583.35,$116.6,$583.35,2021,Sell,Lam Research ,116.6
108,Aug 23,Deposit from Checking (non-interest)Aug 23,$500.00,,,2021,Deposit,N/A,
109,Aug 20,First Trust Global Wind Energy ETF Limit SellAug 20,$43.042 shares at $21.52,$43.0,$21.52,2021,Sell,First Trust Global Wind Energy ETF ,43.0
110,Aug 20,Ballard Power Systems Market BuyAug 20,$29.652 shares at $14.83,$29.6,$14.83,2021,Buy,Ballard Power Systems ,29.6
111,Aug 20,Lam Research Market BuyAug 20,$56.290.1 shares at $562.90,$56.2,$562.90,2021,Buy,Lam Research ,56.2
112,Aug 20,Nintendo Limit SellAug 20,$300.005 shares at $60.00,$300.0,$60.00,2021,Sell,Nintendo ,300.0
113,Aug 20,Intel Market BuyAug 20,$51.701 share at $51.70,$51.7,$51.70,2021,Buy,Intel ,51.7
114,Aug 20,Hyliion Limit SellAug 20,$82.0010 shares at $8.20,$82.0,$8.20,2021,Sell,Hyliion ,82.0
115,Aug 20,Hyliion Limit BuyAug 20,$24.573 shares at $8.19,$24.5,$8.19,2021,Buy,Hyliion ,24.5
116,Aug 20,LyondellBasell Market SellAug 20,$98.121 share at $98.12,$98.1,$98.12,2021,Sell,LyondellBasell ,98.1
117,Aug 20,Verizon Limit SellAug 20,$111.302 shares at $55.65,$111.3,$55.65,2021,Sell,Verizon ,111.3
118,Aug 20,Dupont De Nemours Market BuyAug 20,$36.370.5 shares at $72.74,$36.3,$72.74,2021,Buy,Dupont De Nemours ,36.3
119,Aug 20,Air Products & Chemicals Market BuyAug 20,$53.720.2 shares at $268.60,$53.7,$268.60,2021,Buy,Air Products & Chemicals ,53.7
120,Aug 20,Mazda Limit BuyAug 20,$16.364 shares at $4.09,$16.3,$4.09,2021,Buy,Mazda ,16.3
121,Aug 20,Toyota Market BuyAug 20,$32.960.2 shares at $164.80,$32.9,$164.80,2021,Buy,Toyota ,32.9
122,Aug 20,Subaru Limit BuyAug 20,$18.242 shares at $9.12,$18.2,$9.12,2021,Buy,Subaru ,18.2
123,Aug 20,Mazda Limit BuyAug 20,$16.404 shares at $4.10,$16.4,$4.10,2021,Buy,Mazda ,16.4
124,Aug 20,Subaru Market BuyAug 20,$18.282 shares at $9.14,$18.2,$9.14,2021,Buy,Subaru ,18.2
125,Aug 20,Roblox Market SellAug 20,$42.250.5 shares at $84.50,$42.2,$84.50,2021,Sell,Roblox ,42.2
126,Aug 20,Tapestry Limit BuyAug 20,$39.501 share at $39.50,$39.5,$39.50,2021,Buy,Tapestry ,39.5
127,Aug 20,Rackspace Technology Market BuyAug 20,$13.171 share at $13.17,$13.1,$13.17,2021,Buy,Rackspace Technology ,13.1
128,Aug 20,Coinbase Limit SellAug 20,$258.001 share at $258.00,$258.0,$258.00,2021,Sell,Coinbase ,258.0
130,Aug 20,Delta Air Lines Market SellAug 20,$38.251 share at $38.25,$38.2,$38.25,2021,Sell,Delta Air Lines ,38.2
131,Aug 20,Porsche Limit BuyAug 20,$28.383 shares at $9.46,$28.3,$9.46,2021,Buy,Porsche ,28.3
132,Aug 20,Deposit from Checking (non-interest)Aug 20,$500.00,,,2021,Deposit,N/A,
133,Aug 19,Hyliion Market BuyAug 19,$7.781 share at $7.78,$7.7,$7.78,2021,Buy,Hyliion ,7.7
134,Aug 19,Plug Power Market BuyAug 19,$23.751 share at $23.75,$23.7,$23.75,2021,Buy,Plug Power ,23.7
135,Aug 19,Airbnb Market BuyAug 19,$71.540.5 shares at $143.08,$71.5,$143.08,2021,Buy,Airbnb ,71.5
136,Aug 19,Plug Power Market BuyAug 19,$24.171 share at $24.17,$24.1,$24.17,2021,Buy,Plug Power ,24.1
137,Aug 19,LyondellBasell Market BuyAug 19,$48.310.5 shares at $96.62,$48.3,$96.62,2021,Buy,LyondellBasell ,48.3
138,Aug 19,Delta Air Lines Market BuyAug 19,$37.311 share at $37.31,$37.3,$37.31,2021,Buy,Delta Air Lines ,37.3
139,Aug 19,Huntsman Market BuyAug 19,$24.401 share at $24.40,$24.4,$24.40,2021,Buy,Huntsman ,24.4
140,Aug 19,Eastman Chemical Market BuyAug 19,$54.410.5 shares at $108.82,$54.4,$108.82,2021,Buy,Eastman Chemical ,54.4
141,Aug 19,Trinseo Market BuyAug 19,$45.011 share at $45.01,$45.0,$45.01,2021,Buy,Trinseo ,45.0
142,Aug 19,LyondellBasell Market BuyAug 19,$48.280.5 shares at $96.56,$48.2,$96.56,2021,Buy,LyondellBasell ,48.2
143,Aug 19,JetBlue Airways Market BuyAug 19,$28.152 shares at $14.08,$28.1,$14.08,2021,Buy,JetBlue Airways ,28.1
144,Aug 19,Azul Airlines Market BuyAug 19,$37.582 shares at $18.79,$37.5,$18.79,2021,Buy,Azul Airlines ,37.5
145,Aug 19,GoodRx Market SellAug 19,$67.982 shares at $33.99,$67.9,$33.99,2021,Sell,GoodRx ,67.9
146,Aug 19,Canadian Solar Market BuyAug 19,$16.410.5 shares at $32.82,$16.4,$32.82,2021,Buy,Canadian Solar ,16.4
147,Aug 19,Magna Market BuyAug 19,$38.860.5 shares at $77.72,$38.8,$77.72,2021,Buy,Magna ,38.8
148,Aug 19,Velodyne Lidar Market BuyAug 19,$12.582 shares at $6.29,$12.5,$6.29,2021,Buy,Velodyne Lidar ,12.5
149,Aug 19,Clean Energy Fuels Market BuyAug 19,$6.611 share at $6.61,$6.6,$6.61,2021,Buy,Clean Energy Fuels ,6.6
150,Aug 19,Ballard Power Systems Market BuyAug 19,$15.071 share at $15.07,$15.0,$15.07,2021,Buy,Ballard Power Systems ,15.0
151,Aug 19,Plug Power Market BuyAug 19,$24.441 share at $24.44,$24.4,$24.44,2021,Buy,Plug Power ,24.4
152,Aug 19,Bloom Energy Market BuyAug 19,$19.421 share at $19.42,$19.4,$19.42,2021,Buy,Bloom Energy ,19.4
153,Aug 19,Bloom Energy Market BuyAug 19,$19.651 share at $19.65,$19.6,$19.65,2021,Buy,Bloom Energy ,19.6
154,Aug 19,Corsair Gaming Market BuyAug 19,$25.791 share at $25.79,$25.7,$25.79,2021,Buy,Corsair Gaming ,25.7
156,Aug 19,Magna Market BuyAug 19,$79.141 share at $79.14,$79.1,$79.14,2021,Buy,Magna ,79.1
157,Aug 19,QuantumScape Market BuyAug 19,$19.531 share at $19.53,$19.5,$19.53,2021,Buy,QuantumScape ,19.5
158,Aug 19,Qualcomm Market BuyAug 19,$69.520.5 shares at $139.04,$69.5,$139.04,2021,Buy,Qualcomm ,69.5
159,Aug 19,Toyota Market BuyAug 19,$34.000.2 shares at $170.00,$34.0,$170.00,2021,Buy,Toyota ,34.0
160,Aug 19,Intel Market BuyAug 19,$51.771 share at $51.77,$51.7,$51.77,2021,Buy,Intel ,51.7
161,Aug 19,Taiwan Semiconductor Manufacturing Market BuyAug 19,$54.020.5 shares at $108.04,$54.0,$108.04,2021,Buy,Taiwan Semiconductor Manufacturing ,54.0
162,Aug 19,Canadian Solar Market BuyAug 19,$33.711 share at $33.71,$33.7,$33.71,2021,Buy,Canadian Solar ,33.7
163,Aug 19,American Axle & Manufacturing Limit BuyAug 19,$33.874 shares at $8.47,$33.8,$8.47,2021,Buy,American Axle & Manufacturing ,33.8
164,Aug 19,Trinseo Market BuyAug 19,$46.551 share at $46.55,$46.5,$46.55,2021,Buy,Trinseo ,46.5
165,Aug 19,Porsche Limit BuyAug 19,$19.222 shares at $9.61,$19.2,$9.61,2021,Buy,Porsche ,19.2
166,Aug 19,Coinbase Market BuyAug 19,$48.400.2 shares at $242.00,$48.4,$242.00,2021,Buy,Coinbase ,48.4
167,Aug 19,Bloom Energy Market BuyAug 19,$19.991 share at $19.99,$19.9,$19.99,2021,Buy,Bloom Energy ,19.9
168,Aug 19,Lam Research Market BuyAug 19,$56.560.1 shares at $565.60,$56.5,$565.60,2021,Buy,Lam Research ,56.5
169,Aug 19,Skyworks Market BuyAug 19,$34.820.2 shares at $174.10,$34.8,$174.10,2021,Buy,Skyworks ,34.8
170,Aug 19,Rackspace Technology Market BuyAug 19,$39.813 shares at $13.27,$39.8,$13.27,2021,Buy,Rackspace Technology ,39.8
171,Aug 19,Porsche Limit BuyAug 19,$28.893 shares at $9.63,$28.8,$9.63,2021,Buy,Porsche ,28.8
172,Aug 19,Air Products & Chemicals Market BuyAug 19,$26.970.1 shares at $269.70,$26.9,$269.70,2021,Buy,Air Products & Chemicals ,26.9
173,Aug 19,Taiwan Semiconductor Manufacturing Market BuyAug 19,$54.460.5 shares at $108.92,$54.4,$108.92,2021,Buy,Taiwan Semiconductor Manufacturing ,54.4
174,Aug 18,Coinbase Market BuyAug 18,$123.200.5 shares at $246.40,$123.2,$246.40,2021,Buy,Coinbase ,123.2
175,Aug 18,iShares Global Clean Energy ETF Limit SellAug 18,$67.323 shares at $22.44,$67.3,$22.44,2021,Sell,iShares Global Clean Energy ETF ,67.3
176,Aug 18,Bloom Energy Market SellAug 18,$146.597 shares at $20.94,$146.5,$20.94,2021,Sell,Bloom Energy ,146.5
177,Aug 18,Ballard Power Systems Market SellAug 18,$109.137 shares at $15.59,$109.1,$15.59,2021,Sell,Ballard Power Systems ,109.1
178,Aug 18,Trinseo Market BuyAug 18,$47.821 share at $47.82,$47.8,$47.82,2021,Buy,Trinseo ,47.8
179,Aug 18,Dupont De Nemours Market BuyAug 18,$74.551 share at $74.55,$74.5,$74.55,2021,Buy,Dupont De Nemours ,74.5
180,Aug 18,Nexa Resources Limit BuyAug 18,$68.2010 shares at $6.82,$68.2,$6.82,2021,Buy,Nexa Resources ,68.2
181,Aug 18,Air Products & Chemicals Market BuyAug 18,$40.900.15 shares at $272.67,$40.9,$272.67,2021,Buy,Air Products & Chemicals ,40.9
182,Aug 18,Tesla Market SellAug 18,$103.600.15 shares at $690.67,$103.6,$690.67,2021,Sell,Tesla ,103.6
183,Aug 18,Air Products & Chemicals Market BuyAug 18,$41.390.15 shares at $275.93,$41.3,$275.93,2021,Buy,Air Products & Chemicals ,41.3
184,Aug 18,Hyliion Limit SellAug 18,$41.005 shares at $8.20,$41.0,$8.20,2021,Sell,Hyliion ,41.0
185,Aug 18,Desktop Metal Limit SellAug 18,$100.1013 shares at $7.70,$100.1,$7.70,2021,Sell,Desktop Metal ,100.1
186,Aug 18,Energizer Market BuyAug 18,$40.101 share at $40.10,$40.1,$40.10,2021,Buy,Energizer ,40.1
187,Aug 18,Nexa Resources Limit BuyAug 18,$34.655 shares at $6.93,$34.6,$6.93,2021,Buy,Nexa Resources ,34.6
188,Aug 18,Rackspace Technology Market BuyAug 18,$26.702 shares at $13.35,$26.7,$13.35,2021,Buy,Rackspace Technology ,26.7
189,Aug 18,Porsche Limit BuyAug 18,$48.955 shares at $9.79,$48.9,$9.79,2021,Buy,Porsche ,48.9
190,Aug 18,Desktop Metal Market SellAug 18,$37.965 shares at $7.59,$37.9,$7.59,2021,Sell,Desktop Metal ,37.9
191,Aug 17,Canadian Solar Market BuyAug 17,$34.671 share at $34.67,$34.6,$34.67,2021,Buy,Canadian Solar ,34.6
192,Aug 17,Taiwan Semiconductor Manufacturing Market BuyAug 17,$110.951 share at $110.95,$110.9,$110.95,2021,Buy,Taiwan Semiconductor Manufacturing ,110.9
193,Aug 17,Nexa Resources Market BuyAug 17,$21.723 shares at $7.24,$21.7,$7.24,2021,Buy,Nexa Resources ,21.7
194,Aug 17,Cummins Market SellAug 17,$704.853 shares at $234.95,$704.8,$234.95,2021,Sell,Cummins ,704.8
195,Aug 17,Sunrun Market BuyAug 17,$21.320.5 shares at $42.64,$21.3,$42.64,2021,Buy,Sunrun ,21.3
196,Aug 17,Coinbase Market BuyAug 17,$49.760.2 shares at $248.80,$49.7,$248.80,2021,Buy,Coinbase ,49.7
197,Aug 17,Dupont De Nemours Market BuyAug 17,$74.401 share at $74.40,$74.4,$74.40,2021,Buy,Dupont De Nemours ,74.4
198,Aug 17,JetBlue Airways Market BuyAug 17,$14.671 share at $14.67,$14.6,$14.67,2021,Buy,JetBlue Airways ,14.6
199,Aug 17,Azul Airlines Market BuyAug 17,$19.281 share at $19.28,$19.2,$19.28,2021,Buy,Azul Airlines ,19.2
200,Aug 17,Azul Airlines Market BuyAug 17,$19.291 share at $19.29,$19.2,$19.29,2021,Buy,Azul Airlines ,19.2
201,Aug 17,Dow Market BuyAug 17,$61.841 share at $61.84,$61.8,$61.84,2021,Buy,Dow ,61.8
202,Aug 17,International Airlines Group Limit BuyAug 17,$43.5010 shares at $4.35,$43.5,$4.35,2021,Buy,International Airlines Group ,43.5
203,Aug 17,Lam Research Market BuyAug 17,$57.520.1 shares at $575.20,$57.5,$575.20,2021,Buy,Lam Research ,57.5
204,Aug 17,Taiwan Semiconductor Manufacturing Market BuyAug 17,$27.850.25 shares at $111.40,$27.8,$111.40,2021,Buy,Taiwan Semiconductor Manufacturing ,27.8
205,Aug 17,QuantumScape Market BuyAug 17,$20.061 share at $20.06,$20.0,$20.06,2021,Buy,QuantumScape ,20.0
206,Aug 17,Taiwan Semiconductor Manufacturing Market BuyAug 17,$27.900.25 shares at $111.60,$27.9,$111.60,2021,Buy,Taiwan Semiconductor Manufacturing ,27.9
207,Aug 17,Tesla Market BuyAug 17,$98.960.15 shares at $659.73,$98.9,$659.73,2021,Buy,Tesla ,98.9
208,Aug 17,Canadian Solar Market BuyAug 17,$35.121 share at $35.12,$35.1,$35.12,2021,Buy,Canadian Solar ,35.1
209,Aug 17,Nexa Resources Limit BuyAug 17,$74.5010 shares at $7.45,$74.5,$7.45,2021,Buy,Nexa Resources ,74.5
