,Date,Type,Total,Total for Shares,Price per share,Year,"B,S,D,O",Stock Name,Float Total,Shares,Ticker
3161,"Apr 3, 2020","Deposit from Checking (non-interest)Apr 3, 2020",29.05,,,2020,Deposit,N/A,,0.0,Idk
3160,"Apr 3, 2020","US Concrete Market BuyApr 3, 2020",$28.092 shares at $14.05,$28.09,$14.05,2020,Buy,US Concrete,28.09,1.9992882562277579,USCR
3159,"Apr 3, 2020","Deposit from Checking (non-interest)Apr 3, 2020",12.55,,,2020,Deposit,N/A,,0.0,Idk
3158,"Apr 3, 2020","GE Market BuyApr 3, 2020",$13.312 shares at $6.66,$13.31,$6.66,2020,Buy,GE,13.31,1.9984984984984986,GE
3157,"Apr 7, 2020","Deposit from Checking (non-interest)Apr 7, 2020",14.14,,,2020,Deposit,N/A,,0.0,Idk
3156,"Apr 7, 2020","Deposit from Checking (non-interest)Apr 7, 2020",40.0,,,2020,Deposit,N/A,,0.0,Idk
3155,"Apr 7, 2020","Mylan Market BuyApr 7, 2020",$14.101 share at $14.10,$14.10,$14.10,2020,Buy,Mylan,14.1,1.0,MYL
3154,"Apr 7, 2020","Tata Motors Market BuyApr 7, 2020",$4.311 share at $4.31,$4.31,$4.31,2020,Buy,Tata Motors,4.31,1.0,TTM
3153,"Apr 9, 2020","AMC Entertainment Market BuyApr 9, 2020",$5.482 shares at $2.74,$5.48,$2.74,2020,Buy,AMC Entertainment,5.48,2.0,AMC
3152,"Apr 9, 2020","Blackberry Market BuyApr 9, 2020",$3.781 share at $3.78,$3.78,$3.78,2020,Buy,Blackberry,3.78,1.0,BB
3151,"Apr 9, 2020","Gerdau Market BuyApr 9, 2020",$2.121 share at $2.12,$2.12,$2.12,2020,Buy,Gerdau,2.12,1.0,GGB
3150,"Apr 9, 2020","AMC Entertainment Market BuyApr 9, 2020",$5.242 shares at $2.62,$5.24,$2.62,2020,Buy,AMC Entertainment,5.24,2.0,AMC
3149,"Apr 9, 2020","AMC Entertainment Market SellApr 9, 2020",$10.444 shares at $2.61,$10.44,$2.61,2020,Sell,AMC Entertainment,10.44,4.0,AMC
3148,"Apr 13, 2020","AMC Entertainment Limit SellApr 13, 2020",$4.242 shares at $2.12,$4.24,$2.12,2020,Sell,AMC Entertainment,4.24,2.0,AMC
3147,"Apr 13, 2020","Gerdau Market BuyApr 13, 2020",$2.051 share at $2.05,$2.05,$2.05,2020,Buy,Gerdau,2.05,1.0,GGB
3146,"Apr 13, 2020","HP Market BuyApr 13, 2020",$15.481 share at $15.48,$15.48,$15.48,2020,Buy,HP,15.48,1.0,HPQ
3145,"Apr 13, 2020","Telefonica Market BuyApr 13, 2020",$4.711 share at $4.71,$4.71,$4.71,2020,Buy,Telefonica,4.71,1.0,TEF
3144,"Apr 13, 2020","Deposit from Checking (non-interest)Apr 13, 2020",1.85,,,2020,Deposit,N/A,,0.0,Idk
3143,"Apr 13, 2020","Deutsche Telekom Market BuyApr 13, 2020",$13.441 share at $13.44,$13.44,$13.44,2020,Buy,Deutsche Telekom,13.44,1.0,DTEGY
3142,"Apr 13, 2020","Deposit from Checking (non-interest)Apr 13, 2020",10.0,,,2020,Deposit,N/A,,0.0,Idk
3141,"Apr 13, 2020","Toray Industries Market BuyApr 13, 2020",$8.671 share at $8.67,$8.67,$8.67,2020,Buy,Toray Industries,8.67,1.0,TRYIY
3140,"Apr 13, 2020","Tailored Brands Market BuyApr 13, 2020",$1.771 share at $1.77,$1.77,$1.77,2020,Buy,Tailored Brands,1.77,1.0,TLRDQ
3139,"Apr 16, 2020","Deposit from Checking (non-interest)Apr 16, 2020",25.0,,,2020,Deposit,N/A,,0.0,Idk
3138,"Apr 16, 2020","Tailored Brands Market BuyApr 16, 2020",$1.751 share at $1.75,$1.75,$1.75,2020,Buy,Tailored Brands,1.75,1.0,TLRDQ
3137,"Apr 16, 2020","HP Market BuyApr 16, 2020",$14.751 share at $14.75,$14.75,$14.75,2020,Buy,HP,14.75,1.0,HPQ
3136,"Apr 16, 2020","Tailored Brands Market BuyApr 16, 2020",$3.342 shares at $1.67,$3.34,$1.67,2020,Buy,Tailored Brands,3.34,2.0,TLRDQ
3135,"Apr 16, 2020","Tailored Brands Market BuyApr 16, 2020",$1.641 share at $1.64,$1.64,$1.64,2020,Buy,Tailored Brands,1.64,1.0,TLRDQ
3134,"Apr 16, 2020","Deposit from Checking (non-interest)Apr 16, 2020",20.0,,,2020,Deposit,N/A,,0.0,Idk
3133,"Apr 16, 2020","Norsk Hydro Market BuyApr 16, 2020",$7.724 shares at $1.93,$7.72,$1.93,2020,Buy,Norsk Hydro,7.72,4.0,NHYDY
3132,"Apr 16, 2020","Tailored Brands Market BuyApr 16, 2020",$3.082 shares at $1.54,$3.08,$1.54,2020,Buy,Tailored Brands,3.08,2.0,TLRDQ
3131,"Apr 20, 2020","Tailored Brands Market BuyApr 20, 2020",$3.232 shares at $1.62,$3.23,$1.62,2020,Buy,Tailored Brands,3.23,1.993827160493827,TLRDQ
3130,"Apr 20, 2020","Deposit from Checking (non-interest)Apr 20, 2020",5.0,,,2020,Deposit,N/A,,0.0,Idk
3129,"Apr 20, 2020","Revlon Market BuyApr 20, 2020",$10.751 share at $10.75,$10.75,$10.75,2020,Buy,Revlon,10.75,1.0,REV
3128,"Apr 20, 2020","Tailored Brands Market BuyApr 20, 2020",$1.551 share at $1.55,$1.55,$1.55,2020,Buy,Tailored Brands,1.55,1.0,TLRDQ
3127,"Apr 20, 2020","Deposit from Checking (non-interest)Apr 20, 2020",60.0,,,2020,Deposit,N/A,,0.0,Idk
3126,"Apr 20, 2020","Airbus Market BuyApr 20, 2020",$45.513 shares at $15.17,$45.51,$15.17,2020,Buy,Airbus,45.51,3.0,EADSY
3125,"Apr 21, 2020","Airbus Market BuyApr 21, 2020",$14.061 share at $14.06,$14.06,$14.06,2020,Buy,Airbus,14.06,1.0,EADSY
3124,"Apr 21, 2020","Deposit from Checking (non-interest)Apr 21, 2020",43.0,,,2020,Deposit,N/A,,0.0,Idk
3123,"Apr 21, 2020","Airbus Market BuyApr 21, 2020",$14.191 share at $14.19,$14.19,$14.19,2020,Buy,Airbus,14.19,1.0,EADSY
3122,"Apr 21, 2020","Airbus Market BuyApr 21, 2020",$14.081 share at $14.08,$14.08,$14.08,2020,Buy,Airbus,14.08,1.0,EADSY
3121,"Apr 21, 2020","Airbus Market BuyApr 21, 2020",$14.121 share at $14.12,$14.12,$14.12,2020,Buy,Airbus,14.12,1.0,EADSY
3120,"Apr 28, 2020","Deposit from Checking (non-interest)Apr 28, 2020",20.0,,,2020,Deposit,N/A,,0.0,Idk
3119,"Apr 28, 2020","Simply Good Foods Market BuyApr 28, 2020",$16.881 share at $16.88,$16.88,$16.88,2020,Buy,Simply Good Foods,16.88,1.0,SMPL
3118,"Apr 29, 2020","Norsk Hydro Market SellApr 29, 2020",$2.351 share at $2.35,$2.35,$2.35,2020,Sell,Norsk Hydro,2.35,1.0,NHYDY
3117,"Apr 29, 2020","Norsk Hydro Market SellApr 29, 2020",$7.023 shares at $2.34,$7.02,$2.34,2020,Sell,Norsk Hydro,7.02,3.0,NHYDY
3116,"Apr 29, 2020","US Concrete Market SellApr 29, 2020",$19.321 share at $19.32,$19.32,$19.32,2020,Sell,US Concrete,19.32,1.0,USCR
3115,"Apr 29, 2020","Ford Motor Market SellApr 29, 2020",$5.451 share at $5.45,$5.45,$5.45,2020,Sell,Ford Motor,5.45,1.0,F
3114,"Apr 29, 2020","Mylan Market SellApr 29, 2020",$16.951 share at $16.95,$16.95,$16.95,2020,Sell,Mylan,16.95,1.0,MYL
3113,"Apr 29, 2020","United States Steel Market SellApr 29, 2020",$8.081 share at $8.08,$8.08,$8.08,2020,Sell,United States Steel,8.08,1.0,X
3112,"Apr 29, 2020","Revlon Market SellApr 29, 2020",$13.981 share at $13.98,$13.98,$13.98,2020,Sell,Revlon,13.98,1.0,REV
3111,"Apr 29, 2020","Mylan Market SellApr 29, 2020",$17.171 share at $17.17,$17.17,$17.17,2020,Sell,Mylan,17.17,1.0,MYL
3110,"Apr 29, 2020","L Brands Market SellApr 29, 2020",$13.131 share at $13.13,$13.13,$13.13,2020,Sell,L Brands,13.13,1.0,LB
3109,"Apr 29, 2020","Bayer Market SellApr 29, 2020",$16.651 share at $16.65,$16.65,$16.65,2020,Sell,Bayer,16.65,1.0,BAYRY
3108,"Apr 30, 2020","Coty Market BuyApr 30, 2020",$5.381 share at $5.38,$5.38,$5.38,2020,Buy,Coty,5.38,1.0,COTY
3107,"Apr 30, 2020","Coty Market BuyApr 30, 2020",$5.381 share at $5.38,$5.38,$5.38,2020,Buy,Coty,5.38,1.0,COTY
3106,"May 1, 2020","Southwest Airlines Market BuyMay 1, 2020",$29.831 share at $29.83,$29.83,$29.83,2020,Buy,Southwest Airlines,29.83,1.0,LUV
3105,"May 1, 2020","Chef's Warehouse Market BuyMay 1, 2020",$25.462 shares at $12.73,$25.46,$12.73,2020,Buy,Chef's Warehouse,25.46,2.0,CHEF
3104,"May 1, 2020","Under Armour Market BuyMay 1, 2020",$19.502 shares at $9.75,$19.50,$9.75,2020,Buy,Under Armour,19.5,2.0,UAA
3103,"May 1, 2020","Embraer Market BuyMay 1, 2020",$11.662 shares at $5.83,$11.66,$5.83,2020,Buy,Embraer,11.66,2.0,ERJ
3102,"May 1, 2020","Gerdau Market BuyMay 1, 2020",$4.042 shares at $2.02,$4.04,$2.02,2020,Buy,Gerdau,4.04,2.0,GGB
3101,"May 1, 2020","Deposit from Checking (non-interest)May 1, 2020",5.0,,,2020,Deposit,N/A,,0.0,Idk
3100,"May 1, 2020","Deutsche Lufthansa Market BuyMay 1, 2020",$8.801 share at $8.80,$8.80,$8.80,2020,Buy,Deutsche Lufthansa,8.8,1.0,DLAKY
3099,"May 1, 2020","HP Enterprise Market BuyMay 1, 2020",$18.822 shares at $9.41,$18.82,$9.41,2020,Buy,HP Enterprise,18.82,2.0,HPE
3098,"May 1, 2020","Deposit from Checking (non-interest)May 1, 2020",45.0,,,2020,Deposit,N/A,,0.0,Idk
3097,"May 1, 2020","Southwest Airlines Market BuyMay 1, 2020",$29.131 share at $29.13,$29.13,$29.13,2020,Buy,Southwest Airlines,29.13,1.0,LUV
3096,"May 1, 2020","Rolls-Royce Market BuyMay 1, 2020",$15.564 shares at $3.89,$15.56,$3.89,2020,Buy,Rolls-Royce,15.56,4.0,RYCEY
3095,"May 1, 2020","Telefonica Market SellMay 1, 2020",$4.781 share at $4.78,$4.78,$4.78,2020,Sell,Telefonica,4.78,1.0,TEF
3094,"May 1, 2020","Blackberry Market BuyMay 1, 2020",$4.031 share at $4.03,$4.03,$4.03,2020,Buy,Blackberry,4.03,1.0,BB
3093,"May 1, 2020","Deposit from Checking (non-interest)May 1, 2020",140.0,,,2020,Deposit,N/A,,0.0,Idk
3092,"May 1, 2020","Boeing Market BuyMay 1, 2020",$134.171 share at $134.17,$134.17,$134.17,2020,Buy,Boeing,134.17,1.0,BA
3091,"May 4, 2020","Deposit from Checking (non-interest)May 4, 2020",20.0,,,2020,Deposit,N/A,,0.0,Idk
3090,"May 4, 2020","International Airlines Group Market BuyMay 4, 2020",$15.393 shares at $5.13,$15.39,$5.13,2020,Buy,International Airlines Group,15.39,3.0,ICAGY
3089,"May 4, 2020","HP Enterprise Market BuyMay 4, 2020",$9.251 share at $9.25,$9.25,$9.25,2020,Buy,HP Enterprise,9.25,1.0,HPE
3088,"May 4, 2020","United States Steel Market SellMay 4, 2020",$8.111 share at $8.11,$8.11,$8.11,2020,Sell,United States Steel,8.11,1.0,X
3087,"May 5, 2020","International Airlines Group Market BuyMay 5, 2020",$9.922 shares at $4.96,$9.92,$4.96,2020,Buy,International Airlines Group,9.92,2.0,ICAGY
3086,"May 6, 2020","Deposit from Checking (non-interest)May 6, 2020",140.0,,,2020,Deposit,N/A,,0.0,Idk
3085,"May 6, 2020","Airbus Market BuyMay 6, 2020",$72.585 shares at $14.52,$72.58,$14.52,2020,Buy,Airbus,72.58,4.9986225895316805,EADSY
3084,"May 6, 2020","Deposit from Checking (non-interest)May 6, 2020",70.0,,,2020,Deposit,N/A,,0.0,Idk
3083,"May 6, 2020","HP Enterprise Market BuyMay 6, 2020",$65.387 shares at $9.34,$65.38,$9.34,2020,Buy,HP Enterprise,65.38,7.0,HPE
3082,"May 6, 2020","Airbus Market BuyMay 6, 2020",$58.124 shares at $14.53,$58.12,$14.53,2020,Buy,Airbus,58.12,4.0,EADSY
3081,"May 6, 2020","HP Enterprise Market BuyMay 6, 2020",$9.351 share at $9.35,$9.35,$9.35,2020,Buy,HP Enterprise,9.35,1.0,HPE
3080,"May 8, 2020","Bombardier Market BuyMay 8, 2020",$6.2620 shares at $0.313,$6.26,$0.313,2020,Buy,Bombardier,6.26,20.0,BDRBF
3079,"May 8, 2020","Bombardier Market BuyMay 8, 2020",$1.254 shares at $0.3125,$1.25,$0.3125,2020,Buy,Bombardier,1.25,4.0,BDRBF
3078,"May 11, 2020","Deposit from Checking (non-interest)May 11, 2020",40.0,,,2020,Deposit,N/A,,0.0,Idk
3077,"May 11, 2020","US Foods Market BuyMay 11, 2020",$37.022 shares at $18.51,$37.02,$18.51,2020,Buy,US Foods,37.02,2.0,USFD
3076,"May 11, 2020","Chef's Warehouse Market SellMay 11, 2020",$14.561 share at $14.56,$14.56,$14.56,2020,Sell,Chef's Warehouse,14.56,1.0,CHEF
3075,"May 12, 2020","Airbus Limit BuyMay 12, 2020",$14.031 share at $14.03,$14.03,$14.03,2020,Buy,Airbus,14.03,1.0,EADSY
3074,"May 12, 2020","Deposit from Checking (non-interest)May 12, 2020",71.0,,,2020,Deposit,N/A,,0.0,Idk
3073,"May 12, 2020","Airbus Market BuyMay 12, 2020",$70.155 shares at $14.03,$70.15,$14.03,2020,Buy,Airbus,70.15,5.000000000000001,EADSY
3072,"May 12, 2020","Deposit from Checking (non-interest)May 12, 2020",140.0,,,2020,Deposit,N/A,,0.0,Idk
3071,"May 12, 2020","Honeywell International Market BuyMay 12, 2020",$131.731 share at $131.73,$131.73,$131.73,2020,Buy,Honeywell International,131.73,1.0,HON
3070,"May 12, 2020","Deposit from Checking (non-interest)May 12, 2020",20.0,,,2020,Deposit,N/A,,0.0,Idk
3069,"May 12, 2020","Herman Miller Market BuyMay 12, 2020",$20.781 share at $20.78,$20.78,$20.78,2020,Buy,Herman Miller,20.78,1.0,MLHR
3068,"May 12, 2020","Deposit from Checking (non-interest)May 12, 2020",30.0,,,2020,Deposit,N/A,,0.0,Idk
3067,"May 12, 2020","HP Market BuyMay 12, 2020",$29.802 shares at $14.90,$29.80,$14.90,2020,Buy,HP,29.8,2.0,HPQ
3066,"May 12, 2020","HP Enterprise Market BuyMay 12, 2020",$9.491 share at $9.49,$9.49,$9.49,2020,Buy,HP Enterprise,9.49,1.0,HPE
3065,"May 13, 2020","Deposit from Checking (non-interest)May 13, 2020",120.0,,,2020,Deposit,N/A,,0.0,Idk
3064,"May 13, 2020","Deposit from Checking (non-interest)May 13, 2020",2.0,,,2020,Deposit,N/A,,0.0,Idk
3063,"May 13, 2020","IBM Market BuyMay 13, 2020",$115.871 share at $115.87,$115.87,$115.87,2020,Buy,IBM,115.87,1.0,IBM
3062,"May 13, 2020","Deposit from Checking (non-interest)May 13, 2020",130.0,,,2020,Deposit,N/A,,0.0,Idk
3061,"May 13, 2020","Boeing Market BuyMay 13, 2020",$121.161 share at $121.16,$121.16,$121.16,2020,Buy,Boeing,121.16,1.0,BA
3060,"May 13, 2020","Deposit from Checking (non-interest)May 13, 2020",120.0,,,2020,Deposit,N/A,,0.0,Idk
3059,"May 13, 2020","Honeywell International Market BuyMay 13, 2020",$123.041 share at $123.04,$123.04,$123.04,2020,Buy,Honeywell International,123.04,1.0,HON
3058,"May 13, 2020","Deposit from Checking (non-interest)May 13, 2020",20.0,,,2020,Deposit,N/A,,0.0,Idk
3057,"May 13, 2020","HP Market BuyMay 13, 2020",$28.182 shares at $14.09,$28.18,$14.09,2020,Buy,HP,28.18,2.0,HPQ
3056,"May 14, 2020","Dividend from BayerMay 14, 2020",$1.07,$1.,,2020,Dividend,,1.0,0.0,Idk
3055,"Jun 5, 2020","Dividend from Honeywell InternationalJun 5, 2020",$1.80,$1.,,2020,Dividend,,1.0,0.0,Idk
3054,"Jun 26, 2020","Dividend from CosanJun 26, 2020",$0.56,$0.,,2020,Dividend,,0.0,0.0,Idk
3053,"Jul 1, 2020","Dividend from CorningJul 1, 2020",$0.22,$0.,,2020,Dividend,,0.0,0.0,Idk
3052,"Jul 1, 2020","Dividend from Deutsche TelekomJul 1, 2020",$1.30,$1.,,2020,Dividend,,1.0,0.0,Idk
3051,"Jul 2, 2020","Dividend from HPJul 2, 2020",$0.35,$0.,,2020,Dividend,,0.0,0.0,Idk
3050,"Jul 28, 2020","Dividend from GEJul 28, 2020",$0.02,$0.,,2020,Dividend,,0.0,0.0,Idk
3049,"Aug 4, 2020","Dividend from AT&TAug 4, 2020",$1.56,$1.,,2020,Dividend,,1.0,0.0,Idk
3048,"Aug 14, 2020","Dividend from AppleAug 14, 2020",$0.08,$0.,,2020,Dividend,,0.0,0.0,Idk
3047,"Aug 17, 2020","Dividend from NRG EnergyAug 17, 2020",$0.90,$0.,,2020,Dividend,,0.0,0.0,Idk
3046,"Aug 18, 2020","Dividend from AESAug 18, 2020",$0.57,$0.,,2020,Dividend,,0.0,0.0,Idk
3045,"Aug 19, 2020","Dividend from National GridAug 19, 2020",$3.99,$3.,,2020,Dividend,,3.0,0.0,Idk
3044,"Sep 1, 2020","Dividend from CF IndustriesSep 1, 2020",$0.15,$0.,,2020,Dividend,,0.0,0.0,Idk
3043,"Sep 1, 2020","Dividend from IntelSep 1, 2020",$1.02,$1.,,2020,Dividend,,1.0,0.0,Idk
3042,"Sep 2, 2020","Dividend from PfizerSep 2, 2020",$1.52,$1.,,2020,Dividend,,1.0,0.0,Idk
3041,"Sep 2, 2020","Dividend from FirstEnergySep 2, 2020",$0.20,$0.,,2020,Dividend,,0.0,0.0,Idk
3040,"Sep 2, 2020","Dividend from TronoxSep 2, 2020",$0.07,$0.,,2020,Dividend,,0.0,0.0,Idk
3039,"Sep 4, 2020","Dividend from TE ConnectivitySep 4, 2020",$0.10,$0.,,2020,Dividend,,0.0,0.0,Idk
3038,"Sep 8, 2020","Dividend from AmgenSep 8, 2020",$0.32,$0.,,2020,Dividend,,0.0,0.0,Idk
3037,"Sep 9, 2020","Dividend from SouthernSep 9, 2020",$0.13,$0.,,2020,Dividend,,0.0,0.0,Idk
3036,"Sep 9, 2020","Dividend from Johnson & JohnsonSep 9, 2020",$0.20,$0.,,2020,Dividend,,0.0,0.0,Idk
3035,"Sep 9, 2020","Dividend from LyondellBasellSep 9, 2020",$0.63,$0.,,2020,Dividend,,0.0,0.0,Idk
3034,"Sep 9, 2020","Dividend from Archer Daniels MidlandSep 9, 2020",$0.36,$0.,,2020,Dividend,,0.0,0.0,Idk
3033,"Sep 9, 2020","Dividend from Analog DevicesSep 9, 2020",$0.19,$0.,,2020,Dividend,,0.0,0.0,Idk
3032,"Sep 10, 2020","Dividend from Applied MaterialsSep 10, 2020",$0.02,$0.,,2020,Dividend,,0.0,0.0,Idk
3031,"Sep 10, 2020","Dividend from CenterPoint EnergySep 10, 2020",$0.15,$0.,,2020,Dividend,,0.0,0.0,Idk
3030,"Sep 10, 2020","Dividend from IBMSep 10, 2020",$8.15,$8.,,2020,Dividend,,8.0,0.0,Idk
3029,"Sep 11, 2020","Dividend from ExelonSep 11, 2020",$1.53,$1.,,2020,Dividend,,1.0,0.0,Idk
3028,"Sep 11, 2020","Dividend from Eli LillySep 11, 2020",$0.07,$0.,,2020,Dividend,,0.0,0.0,Idk
3027,"Sep 11, 2020","Dividend from MicrosoftSep 11, 2020",$0.15,$0.,,2020,Dividend,,0.0,0.0,Idk
3026,"Sep 11, 2020","Dividend from TargetSep 11, 2020",$0.07,$0.,,2020,Dividend,,0.0,0.0,Idk
3025,"Sep 11, 2020","Dividend from American Electric PowerSep 11, 2020",$0.35,$0.,,2020,Dividend,,0.0,0.0,Idk
3024,"Sep 11, 2020","Dividend from CDWSep 11, 2020",$0.08,$0.,,2020,Dividend,,0.0,0.0,Idk
3023,"Sep 11, 2020","Dividend from DowSep 11, 2020",$1.40,$1.,,2020,Dividend,,1.0,0.0,Idk
3022,"Sep 11, 2020","Dividend from Lumen TechnologiesSep 11, 2020",$0.25,$0.,,2020,Dividend,,0.0,0.0,Idk
3021,"Sep 11, 2020","Dividend from WalgreensSep 11, 2020",$0.47,$0.,,2020,Dividend,,0.0,0.0,Idk
3020,"Sep 14, 2020","Dividend from 3MSep 14, 2020",$0.88,$0.,,2020,Dividend,,0.0,0.0,Idk
3019,"Sep 15, 2020","Dividend from NextEra EnergySep 15, 2020",$1.40,$1.,,2020,Dividend,,1.0,0.0,Idk
3018,"Sep 15, 2020","Dividend from Stanley Black & DeckerSep 15, 2020",$0.07,$0.,,2020,Dividend,,0.0,0.0,Idk
3017,"Sep 15, 2020","Dividend from BorgWarnerSep 15, 2020",$0.05,$0.,,2020,Dividend,,0.0,0.0,Idk
3016,"Sep 15, 2020","Dividend from DoverSep 15, 2020",$0.05,$0.,,2020,Dividend,,0.0,0.0,Idk
3015,"Sep 16, 2020","Dividend from CSXSep 16, 2020",$0.05,$0.,,2020,Dividend,,0.0,0.0,Idk
3014,"Sep 16, 2020","Dividend from Duke EnergySep 16, 2020",$0.19,$0.,,2020,Dividend,,0.0,0.0,Idk
