,Date,Type,Total,Total for Shares,Price per share
43,Aug 25,Taiwan Semiconductor Manufacturing Market BuyAug 25,$118.791 share at $118.79,$118.79,$118.79
44,Aug 25,Airbnb Market SellAug 25,$81.260.5 shares at $162.52,$81.260.5,$162.52
45,Aug 25,Verizon Limit BuyAug 25,Canceled,,
46,Aug 25,Velodyne Lidar Market SellAug 25,$75.6510 shares at $7.57,$75.6510,$7.57
47,Aug 25,Taiwan Semiconductor Manufacturing Market SellAug 25,$117.961 share at $117.96,$117.96,$117.96
48,Aug 25,Taiwan Semiconductor Manufacturing Market SellAug 25,$116.761 share at $116.76,$116.76,$116.76
49,Aug 24,VanEck Vectors Oil Services ETF Market SellAug 24,$183.241 share at $183.24,$183.24,$183.24
50,Aug 24,Clean Energy Fuels Market SellAug 24,$77.2010 shares at $7.72,$77.2010,$7.72
51,Aug 24,Nexa Resources Market SellAug 24,$81.6510 shares at $8.17,$81.6510,$8.17
52,Aug 24,Magna Market SellAug 24,$40.430.5 shares at $80.86,$40.430.5,$80.86
53,Aug 24,Nexa Resources Limit SellAug 24,$78.2010 shares at $7.82,$78.2010,$7.82
54,Aug 24,QuantumScape Market SellAug 24,$21.101 share at $21.10,$21.10,$21.10
55,Aug 24,Trinseo Market SellAug 24,$48.561 share at $48.56,$48.56,$48.56
56,Aug 24,Dupont De Nemours Market SellAug 24,$37.390.5 shares at $74.78,$37.390.5,$74.78
57,Aug 24,Huntsman Market SellAug 24,$25.561 share at $25.56,$25.56,$25.56
58,Aug 24,Nexa Resources Limit SellAug 24,$176.1823 shares at $7.66,$176.1823,$7.66
59,Aug 24,Qualcomm Market SellAug 24,$72.720.5 shares at $145.44,$72.720.5,$145.44
60,Aug 24,Nexa Resources Limit SellAug 24,$113.8515 shares at $7.59,$113.8515,$7.59
61,Aug 24,U.S. Xpress Market SellAug 24,$136.2715 shares at $9.08,$136.2715,$9.08
62,Aug 24,Nexa Resources Market SellAug 24,$112.2815 shares at $7.49,$112.2815,$7.49
63,Aug 24,Porsche Limit SellAug 24,$30.123 shares at $10.04,$30.123,$10.04
64,Aug 24,ARK Innovation ETF Market SellAug 24,$121.051 share at $121.05,$121.05,$121.05
65,Aug 24,CIGNA Corporation Market SellAug 24,$106.070.5 shares at $212.14,$106.070.5,$212.14
66,Aug 24,Airbnb Market SellAug 24,$78.840.5 shares at $157.68,$78.840.5,$157.68
67,Aug 24,Dow Market SellAug 24,$63.271 share at $63.27,$63.27,$63.27
68,Aug 24,Southwest Airlines Market SellAug 24,$50.241 share at $50.24,$50.24,$50.24
69,Aug 24,Azul Airlines Limit SellAug 24,$174.808 shares at $21.85,$174.808,$21.85
70,Aug 24,Canadian Solar Market SellAug 24,$53.951.5 shares at $35.97,$53.951.5,$35.97
71,Aug 24,Airbnb Market SellAug 24,$77.480.5 shares at $154.96,$77.480.5,$154.96
72,Aug 24,Plug Power Limit SellAug 24,$260.5010 shares at $26.05,$260.5010,$26.05
73,Aug 24,Bloom Energy Market SellAug 24,$212.0710 shares at $21.21,$212.0710,$21.21
74,Aug 24,Ballard Power Systems Market SellAug 24,$165.5210 shares at $16.55,$165.5210,$16.55
75,Aug 24,Taiwan Semiconductor Manufacturing Limit SellAug 24,Canceled,,
76,Aug 24,Clean Energy Fuels Limit SellAug 24,$112.3615 shares at $7.49,$112.3615,$7.49
77,Aug 24,Nexa Resources Limit SellAug 24,$109.5015 shares at $7.30,$109.5015,$7.30
78,Aug 24,Airbnb Market SellAug 24,$75.570.5 shares at $151.14,$75.570.5,$151.14
79,Aug 24,Clean Energy Fuels Limit SellAug 24,$74.0010 shares at $7.40,$74.0010,$7.40
80,Aug 24,Plug Power Market SellAug 24,$77.483 shares at $25.83,$77.483,$25.83
81,Aug 24,Hyliion Market SellAug 24,$92.5010 shares at $9.25,$92.5010,$9.25
82,Aug 23,Energizer Market BuyAug 23,$39.021 share at $39.02,$39.02,$39.02
83,Aug 23,Hyliion Market SellAug 23,$44.635 shares at $8.93,$44.635,$8.93
84,Aug 23,Eastman Chemical Market SellAug 23,$112.051 share at $112.05,$112.05,$112.05
85,Aug 23,Desktop Metal Limit SellAug 23,$82.1010 shares at $8.21,$82.1010,$8.21
86,Aug 23,Taiwan Semiconductor Manufacturing Market SellAug 23,$111.201 share at $111.20,$111.20,$111.20
87,Aug 23,Hyliion Limit SellAug 23,$87.9510 shares at $8.80,$87.9510,$8.80
88,Aug 23,Bloom Energy Market SellAug 23,$104.605 shares at $20.92,$104.605,$20.92
89,Aug 23,Ballard Power Systems Market SellAug 23,$160.7010 shares at $16.07,$160.7010,$16.07
90,Aug 23,Bloom Energy Market SellAug 23,$103.685 shares at $20.74,$103.685,$20.74
91,Aug 23,Plug Power Market SellAug 23,$125.405 shares at $25.08,$125.405,$25.08
92,Aug 23,Sunrun Market SellAug 23,$44.271 share at $44.27,$44.27,$44.27
93,Aug 23,Intel Market SellAug 23,$106.972 shares at $53.49,$106.972,$53.49
94,Aug 23,ARK Genomic Revolution ETF Market SellAug 23,$164.872 shares at $82.44,$164.872,$82.44
95,Aug 23,ARK Innovation ETF Market SellAug 23,$119.211 share at $119.21,$119.21,$119.21
96,Aug 23,ARK Next Generation Internet Market SellAug 23,$74.230.5 shares at $148.46,$74.230.5,$148.46
97,Aug 23,ARK Autonomous Technology & Robotics Market SellAug 23,$40.150.5 shares at $80.30,$40.150.5,$80.30
98,Aug 23,Azul Airlines Limit SellAug 23,$144.837 shares at $20.69,$144.837,$20.69
99,Aug 23,Enphase Energy Market SellAug 23,$85.230.5 shares at $170.46,$85.230.5,$170.46
100,Aug 23,CRISPR Market SellAug 23,$124.161 share at $124.16,$124.16,$124.16
101,Aug 23,Ballard Power Systems Limit SellAug 23,$159.6010 shares at $15.96,$159.6010,$15.96
102,Aug 23,Hyliion Limit SellAug 23,$129.5315 shares at $8.64,$129.5315,$8.64
103,Aug 23,Desktop Metal Limit SellAug 23,$118.2015 shares at $7.88,$118.2015,$7.88
104,Aug 23,U.S. Xpress Limit BuyAug 23,$135.7515 shares at $9.05,$135.7515,$9.05
105,Aug 23,Hyliion Limit SellAug 23,Canceled,,
106,Aug 23,Velodyne Lidar Limit SellAug 23,$72.2510 shares at $7.23,$72.2510,$7.23
107,Aug 23,Lam Research Market SellAug 23,$116.670.2 shares at $583.35,$116.670.2,$583.35
108,Aug 23,Deposit from Checking (non-interest)Aug 23,$500.00,,
109,Aug 20,First Trust Global Wind Energy ETF Limit SellAug 20,$43.042 shares at $21.52,$43.042,$21.52
110,Aug 20,Ballard Power Systems Market BuyAug 20,$29.652 shares at $14.83,$29.652,$14.83
111,Aug 20,Lam Research Market BuyAug 20,$56.290.1 shares at $562.90,$56.290.1,$562.90
112,Aug 20,Nintendo Limit SellAug 20,$300.005 shares at $60.00,$300.005,$60.00
113,Aug 20,Intel Market BuyAug 20,$51.701 share at $51.70,$51.70,$51.70
114,Aug 20,Hyliion Limit SellAug 20,$82.0010 shares at $8.20,$82.0010,$8.20
115,Aug 20,Hyliion Limit BuyAug 20,$24.573 shares at $8.19,$24.573,$8.19
116,Aug 20,LyondellBasell Market SellAug 20,$98.121 share at $98.12,$98.12,$98.12
117,Aug 20,Verizon Limit SellAug 20,$111.302 shares at $55.65,$111.302,$55.65
118,Aug 20,Dupont De Nemours Market BuyAug 20,$36.370.5 shares at $72.74,$36.370.5,$72.74
119,Aug 20,Air Products & Chemicals Market BuyAug 20,$53.720.2 shares at $268.60,$53.720.2,$268.60
120,Aug 20,Mazda Limit BuyAug 20,$16.364 shares at $4.09,$16.364,$4.09
121,Aug 20,Toyota Market BuyAug 20,$32.960.2 shares at $164.80,$32.960.2,$164.80
122,Aug 20,Subaru Limit BuyAug 20,$18.242 shares at $9.12,$18.242,$9.12
123,Aug 20,Mazda Limit BuyAug 20,$16.404 shares at $4.10,$16.404,$4.10
124,Aug 20,Subaru Market BuyAug 20,$18.282 shares at $9.14,$18.282,$9.14
125,Aug 20,Roblox Market SellAug 20,$42.250.5 shares at $84.50,$42.250.5,$84.50
126,Aug 20,Tapestry Limit BuyAug 20,$39.501 share at $39.50,$39.50,$39.50
127,Aug 20,Rackspace Technology Market BuyAug 20,$13.171 share at $13.17,$13.17,$13.17
128,Aug 20,Coinbase Limit SellAug 20,$258.001 share at $258.00,$258.00,$258.00
129,Aug 20,Coinbase Limit SellAug 20,Canceled,,
130,Aug 20,Delta Air Lines Market SellAug 20,$38.251 share at $38.25,$38.25,$38.25
131,Aug 20,Porsche Limit BuyAug 20,$28.383 shares at $9.46,$28.383,$9.46
132,Aug 20,Deposit from Checking (non-interest)Aug 20,$500.00,,
133,Aug 19,Hyliion Market BuyAug 19,$7.781 share at $7.78,$7.78,$7.78
134,Aug 19,Plug Power Market BuyAug 19,$23.751 share at $23.75,$23.75,$23.75
135,Aug 19,Airbnb Market BuyAug 19,$71.540.5 shares at $143.08,$71.540.5,$143.08
136,Aug 19,Plug Power Market BuyAug 19,$24.171 share at $24.17,$24.17,$24.17
137,Aug 19,LyondellBasell Market BuyAug 19,$48.310.5 shares at $96.62,$48.310.5,$96.62
138,Aug 19,Delta Air Lines Market BuyAug 19,$37.311 share at $37.31,$37.31,$37.31
139,Aug 19,Huntsman Market BuyAug 19,$24.401 share at $24.40,$24.40,$24.40
140,Aug 19,Eastman Chemical Market BuyAug 19,$54.410.5 shares at $108.82,$54.410.5,$108.82
141,Aug 19,Trinseo Market BuyAug 19,$45.011 share at $45.01,$45.01,$45.01
142,Aug 19,LyondellBasell Market BuyAug 19,$48.280.5 shares at $96.56,$48.280.5,$96.56
143,Aug 19,JetBlue Airways Market BuyAug 19,$28.152 shares at $14.08,$28.152,$14.08
144,Aug 19,Azul Airlines Market BuyAug 19,$37.582 shares at $18.79,$37.582,$18.79
145,Aug 19,GoodRx Market SellAug 19,$67.982 shares at $33.99,$67.982,$33.99
146,Aug 19,Canadian Solar Market BuyAug 19,$16.410.5 shares at $32.82,$16.410.5,$32.82
147,Aug 19,Magna Market BuyAug 19,$38.860.5 shares at $77.72,$38.860.5,$77.72
148,Aug 19,Velodyne Lidar Market BuyAug 19,$12.582 shares at $6.29,$12.582,$6.29
149,Aug 19,Clean Energy Fuels Market BuyAug 19,$6.611 share at $6.61,$6.61,$6.61
150,Aug 19,Ballard Power Systems Market BuyAug 19,$15.071 share at $15.07,$15.07,$15.07
151,Aug 19,Plug Power Market BuyAug 19,$24.441 share at $24.44,$24.44,$24.44
152,Aug 19,Bloom Energy Market BuyAug 19,$19.421 share at $19.42,$19.42,$19.42
153,Aug 19,Bloom Energy Market BuyAug 19,$19.651 share at $19.65,$19.65,$19.65
154,Aug 19,Corsair Gaming Market BuyAug 19,$25.791 share at $25.79,$25.79,$25.79
155,Aug 19,Verizon Limit SellAug 19,Canceled,,
156,Aug 19,Magna Market BuyAug 19,$79.141 share at $79.14,$79.14,$79.14
157,Aug 19,QuantumScape Market BuyAug 19,$19.531 share at $19.53,$19.53,$19.53
158,Aug 19,Qualcomm Market BuyAug 19,$69.520.5 shares at $139.04,$69.520.5,$139.04
159,Aug 19,Toyota Market BuyAug 19,$34.000.2 shares at $170.00,$34.000.2,$170.00
160,Aug 19,Intel Market BuyAug 19,$51.771 share at $51.77,$51.77,$51.77
161,Aug 19,Taiwan Semiconductor Manufacturing Market BuyAug 19,$54.020.5 shares at $108.04,$54.020.5,$108.04
162,Aug 19,Canadian Solar Market BuyAug 19,$33.711 share at $33.71,$33.71,$33.71
163,Aug 19,American Axle & Manufacturing Limit BuyAug 19,$33.874 shares at $8.47,$33.874,$8.47
164,Aug 19,Trinseo Market BuyAug 19,$46.551 share at $46.55,$46.55,$46.55
165,Aug 19,Porsche Limit BuyAug 19,$19.222 shares at $9.61,$19.222,$9.61
166,Aug 19,Coinbase Market BuyAug 19,$48.400.2 shares at $242.00,$48.400.2,$242.00
167,Aug 19,Bloom Energy Market BuyAug 19,$19.991 share at $19.99,$19.99,$19.99
168,Aug 19,Lam Research Market BuyAug 19,$56.560.1 shares at $565.60,$56.560.1,$565.60
169,Aug 19,Skyworks Market BuyAug 19,$34.820.2 shares at $174.10,$34.820.2,$174.10
170,Aug 19,Rackspace Technology Market BuyAug 19,$39.813 shares at $13.27,$39.813,$13.27
171,Aug 19,Porsche Limit BuyAug 19,$28.893 shares at $9.63,$28.893,$9.63
172,Aug 19,Air Products & Chemicals Market BuyAug 19,$26.970.1 shares at $269.70,$26.970.1,$269.70
173,Aug 19,Taiwan Semiconductor Manufacturing Market BuyAug 19,$54.460.5 shares at $108.92,$54.460.5,$108.92
174,Aug 18,Coinbase Market BuyAug 18,$123.200.5 shares at $246.40,$123.200.5,$246.40
175,Aug 18,iShares Global Clean Energy ETF Limit SellAug 18,$67.323 shares at $22.44,$67.323,$22.44
176,Aug 18,Bloom Energy Market SellAug 18,$146.597 shares at $20.94,$146.597,$20.94
177,Aug 18,Ballard Power Systems Market SellAug 18,$109.137 shares at $15.59,$109.137,$15.59
178,Aug 18,Trinseo Market BuyAug 18,$47.821 share at $47.82,$47.82,$47.82
179,Aug 18,Dupont De Nemours Market BuyAug 18,$74.551 share at $74.55,$74.55,$74.55
180,Aug 18,Nexa Resources Limit BuyAug 18,$68.2010 shares at $6.82,$68.2010,$6.82
181,Aug 18,Air Products & Chemicals Market BuyAug 18,$40.900.15 shares at $272.67,$40.900.15,$272.67
182,Aug 18,Tesla Market SellAug 18,$103.600.15 shares at $690.67,$103.600.15,$690.67
183,Aug 18,Air Products & Chemicals Market BuyAug 18,$41.390.15 shares at $275.93,$41.390.15,$275.93
184,Aug 18,Hyliion Limit SellAug 18,$41.005 shares at $8.20,$41.005,$8.20
185,Aug 18,Desktop Metal Limit SellAug 18,$100.1013 shares at $7.70,$100.1013,$7.70
186,Aug 18,Energizer Market BuyAug 18,$40.101 share at $40.10,$40.10,$40.10
187,Aug 18,Nexa Resources Limit BuyAug 18,$34.655 shares at $6.93,$34.655,$6.93
188,Aug 18,Rackspace Technology Market BuyAug 18,$26.702 shares at $13.35,$26.702,$13.35
189,Aug 18,Porsche Limit BuyAug 18,$48.955 shares at $9.79,$48.955,$9.79
190,Aug 18,Desktop Metal Market SellAug 18,$37.965 shares at $7.59,$37.965,$7.59
191,Aug 17,Canadian Solar Market BuyAug 17,$34.671 share at $34.67,$34.67,$34.67
192,Aug 17,Taiwan Semiconductor Manufacturing Market BuyAug 17,$110.951 share at $110.95,$110.95,$110.95
193,Aug 17,Nexa Resources Market BuyAug 17,$21.723 shares at $7.24,$21.723,$7.24
194,Aug 17,Cummins Market SellAug 17,$704.853 shares at $234.95,$704.853,$234.95
195,Aug 17,Sunrun Market BuyAug 17,$21.320.5 shares at $42.64,$21.320.5,$42.64
196,Aug 17,Coinbase Market BuyAug 17,$49.760.2 shares at $248.80,$49.760.2,$248.80
197,Aug 17,Dupont De Nemours Market BuyAug 17,$74.401 share at $74.40,$74.40,$74.40
198,Aug 17,JetBlue Airways Market BuyAug 17,$14.671 share at $14.67,$14.67,$14.67
199,Aug 17,Azul Airlines Market BuyAug 17,$19.281 share at $19.28,$19.28,$19.28
200,Aug 17,Azul Airlines Market BuyAug 17,$19.291 share at $19.29,$19.29,$19.29
201,Aug 17,Dow Market BuyAug 17,$61.841 share at $61.84,$61.84,$61.84
202,Aug 17,International Airlines Group Limit BuyAug 17,$43.5010 shares at $4.35,$43.5010,$4.35
203,Aug 17,Lam Research Market BuyAug 17,$57.520.1 shares at $575.20,$57.520.1,$575.20
204,Aug 17,Taiwan Semiconductor Manufacturing Market BuyAug 17,$27.850.25 shares at $111.40,$27.850.25,$111.40
205,Aug 17,QuantumScape Market BuyAug 17,$20.061 share at $20.06,$20.06,$20.06
206,Aug 17,Taiwan Semiconductor Manufacturing Market BuyAug 17,$27.900.25 shares at $111.60,$27.900.25,$111.60
207,Aug 17,Tesla Market BuyAug 17,$98.960.15 shares at $659.73,$98.960.15,$659.73
208,Aug 17,Canadian Solar Market BuyAug 17,$35.121 share at $35.12,$35.12,$35.12
209,Aug 17,Nexa Resources Limit BuyAug 17,$74.5010 shares at $7.45,$74.5010,$7.45
210,Aug 17,Trinseo Market BuyAug 17,$48.341 share at $48.34,$48.34,$48.34
211,Aug 17,First Trust Global Wind Energy ETF Market BuyAug 17,$42.122 shares at $21.06,$42.122,$21.06
212,Aug 17,Direxion Hydrogen ETF Limit BuyAug 17,$60.183 shares at $20.06,$60.183,$20.06
213,Aug 17,Hyliion Limit BuyAug 17,$24.003 shares at $8.00,$24.003,$8.00
214,Aug 17,Porsche Limit BuyAug 17,$30.273 shares at $10.09,$30.273,$10.09
215,Aug 17,Desktop Metal Market BuyAug 17,$21.963 shares at $7.32,$21.963,$7.32
216,Aug 17,Merck Market SellAug 17,$78.681 share at $78.68,$78.68,$78.68
217,Aug 17,Porsche Limit BuyAug 17,$20.222 shares at $10.11,$20.222,$10.11
218,Aug 17,ARK Innovation ETF Market BuyAug 17,$57.690.5 shares at $115.38,$57.690.5,$115.38
219,Aug 17,QuantumScape Market BuyAug 17,$20.031 share at $20.03,$20.03,$20.03
220,Aug 17,Hyliion Market BuyAug 17,$8.011 share at $8.01,$8.01,$8.01
221,Aug 17,iShares Global Clean Energy ETF Market BuyAug 17,$22.041 share at $22.04,$22.04,$22.04
222,Aug 17,Bloom Energy Market BuyAug 17,$19.841 share at $19.84,$19.84,$19.84
223,Aug 17,Ballard Power Systems Market BuyAug 17,$14.481 share at $14.48,$14.48,$14.48
224,Aug 17,Magna Market BuyAug 17,$82.501 share at $82.50,$82.50,$82.50
225,Aug 17,ARK Genomic Revolution ETF Market BuyAug 17,$79.051 share at $79.05,$79.05,$79.05
226,Aug 17,Huntsman Market BuyAug 17,$50.302 shares at $25.15,$50.302,$25.15
227,Aug 17,Southwest Airlines Market BuyAug 17,$48.821 share at $48.82,$48.82,$48.82
228,Aug 17,Hyliion Market BuyAug 17,$8.011 share at $8.01,$8.01,$8.01
229,Aug 17,Bloom Energy Market BuyAug 17,$20.051 share at $20.05,$20.05,$20.05
230,Aug 17,Taiwan Semiconductor Manufacturing Market BuyAug 17,$27.980.25 shares at $111.92,$27.980.25,$111.92
231,Aug 17,Ballard Power Systems Market BuyAug 17,$14.611 share at $14.61,$14.61,$14.61
232,Aug 17,Enphase Energy Market BuyAug 17,$81.190.5 shares at $162.38,$81.190.5,$162.38
233,Aug 17,Velodyne Lidar Market BuyAug 17,$26.524 shares at $6.63,$26.524,$6.63
234,Aug 17,Desktop Metal Market BuyAug 17,$14.652 shares at $7.33,$14.652,$7.33
235,Aug 17,Azul Airlines Market BuyAug 17,$39.242 shares at $19.62,$39.242,$19.62
236,Aug 17,Rackspace Technology Market BuyAug 17,$26.912 shares at $13.46,$26.912,$13.46
237,Aug 17,Porsche Limit BuyAug 17,$50.755 shares at $10.15,$50.755,$10.15
238,Aug 17,Canadian Solar Market BuyAug 17,$35.871 share at $35.87,$35.87,$35.87
239,Aug 17,Sunrun Market BuyAug 17,$21.840.5 shares at $43.68,$21.840.5,$43.68
240,Aug 17,Intel Market BuyAug 17,$52.711 share at $52.71,$52.71,$52.71
241,Aug 17,QuantumScape Market BuyAug 17,$20.211 share at $20.21,$20.21,$20.21
242,Aug 16,Roblox Market BuyAug 16,$39.780.5 shares at $79.56,$39.780.5,$79.56
243,Aug 16,Clean Energy Fuels Limit BuyAug 16,$35.905 shares at $7.18,$35.905,$7.18
244,Aug 16,Bloom Energy Market BuyAug 16,$40.802 shares at $20.40,$40.802,$20.40
245,Aug 16,Porsche Limit BuyAug 16,$101.6510 shares at $10.17,$101.6510,$10.17
246,Aug 16,Diamondback Energy Market BuyAug 16,$72.561 share at $72.56,$72.56,$72.56
247,Aug 16,Hyliion Market BuyAug 16,$24.773 shares at $8.26,$24.773,$8.26
248,Aug 16,Clean Energy Fuels Market BuyAug 16,$72.8810 shares at $7.29,$72.8810,$7.29
249,Aug 16,U.S. Xpress Limit SellAug 16,$135.1515 shares at $9.01,$135.1515,$9.01
250,Aug 16,Clean Energy Fuels Market BuyAug 16,$36.335 shares at $7.27,$36.335,$7.27
251,Aug 16,Trinseo Market BuyAug 16,$49.081 share at $49.08,$49.08,$49.08
252,Aug 16,ARK Genomic Revolution ETF Market BuyAug 16,$79.711 share at $79.71,$79.71,$79.71
253,Aug 16,ARK Innovation ETF Market BuyAug 16,$57.890.5 shares at $115.78,$57.890.5,$115.78
254,Aug 16,Clean Energy Fuels Limit BuyAug 16,$109.2015 shares at $7.28,$109.2015,$7.28
255,Aug 16,Corsair Gaming Market BuyAug 16,$26.381 share at $26.38,$26.38,$26.38
256,Aug 16,CRISPR Market BuyAug 16,$120.551 share at $120.55,$120.55,$120.55
257,Aug 16,ARK Next Generation Internet Market BuyAug 16,$72.290.5 shares at $144.58,$72.290.5,$144.58
258,Aug 16,Sunrun Market BuyAug 16,$22.420.5 shares at $44.84,$22.420.5,$44.84
259,Aug 16,Desktop Metal Limit BuyAug 16,$39.755 shares at $7.95,$39.755,$7.95
260,Aug 16,Coinbase Market BuyAug 16,$63.870.25 shares at $255.48,$63.870.25,$255.48
261,Aug 16,Bloom Energy Limit BuyAug 16,$61.773 shares at $20.59,$61.773,$20.59
262,Aug 16,ARK Innovation ETF Market BuyAug 16,$58.750.5 shares at $117.50,$58.750.5,$117.50
263,Aug 16,Direxion Hydrogen ETF Limit BuyAug 16,$61.323 shares at $20.44,$61.323,$20.44
264,Aug 16,QuantumScape Market BuyAug 16,$20.941 share at $20.94,$20.94,$20.94
265,Aug 16,VanEck Vectors Oil Services ETF Market BuyAug 16,$178.691 share at $178.69,$178.69,$178.69
266,Aug 16,Azul Airlines Market BuyAug 16,$60.833 shares at $20.28,$60.833,$20.28
267,Aug 16,Velodyne Lidar Limit BuyAug 16,$70.3010 shares at $7.03,$70.3010,$7.03
268,Aug 16,Nexa Resources Limit BuyAug 16,Canceled,,
269,Aug 16,ARK Genomic Revolution ETF Market BuyAug 16,$80.521 share at $80.52,$80.52,$80.52
270,Aug 16,Velodyne Lidar Market BuyAug 16,$21.333 shares at $7.11,$21.333,$7.11
271,Aug 16,QuantumScape Market BuyAug 16,$42.312 shares at $21.16,$42.312,$21.16
272,Aug 16,Hyliion Market BuyAug 16,$25.623 shares at $8.54,$25.623,$8.54
273,Aug 16,Ballard Power Systems Market BuyAug 16,$29.902 shares at $14.95,$29.902,$14.95
274,Aug 16,Plug Power Limit BuyAug 16,$24.751 share at $24.75,$24.75,$24.75
275,Aug 16,Porsche Limit BuyAug 16,$20.842 shares at $10.42,$20.842,$10.42
276,Aug 16,Plug Power Limit BuyAug 16,$24.731 share at $24.73,$24.73,$24.73
277,Aug 16,Hyliion Limit BuyAug 16,$43.505 shares at $8.70,$43.505,$8.70
278,Aug 13,Toyota Limit BuyAug 13,Canceled,,
279,Aug 13,Southwest Airlines Limit BuyAug 13,Canceled,,
280,Aug 13,CRISPR Limit BuyAug 13,Canceled,,
281,Aug 13,Sunrun Limit BuyAug 13,Canceled,,
282,Aug 13,Rackspace Technology Market BuyAug 13,$27.112 shares at $13.56,$27.112,$13.56
283,Aug 13,Desktop Metal Market BuyAug 13,$25.193 shares at $8.40,$25.193,$8.40
284,Aug 13,Ballard Power Systems Market BuyAug 13,$45.363 shares at $15.12,$45.363,$15.12
285,Aug 13,Plug Power Market BuyAug 13,$75.293 shares at $25.10,$75.293,$25.10
286,Aug 13,GoodRx Market SellAug 13,$36.551 share at $36.55,$36.55,$36.55
287,Aug 13,Airbnb Market SellAug 13,$150.831 share at $150.83,$150.83,$150.83
288,Aug 13,Bloom Energy Market BuyAug 13,$64.113 shares at $21.37,$64.113,$21.37
289,Aug 13,Ballard Power Systems Market BuyAug 13,$30.442 shares at $15.22,$30.442,$15.22
