,Date,Type,Total,Total for Shares,Price per share,Year,"B,S,D,O",Stock Name,Float Total,Sell?,Dividend?,Buy?,
50,24-Aug,Clean Energy Fuels Market SellAug 24,$77.2010 shares at $7.72,77.20,$7.72 ,2021,Sell,Clean Energy Fuels ,77.2,-77.2,0,0,
51,24-Aug,Nexa Resources Market SellAug 24,$81.6510 shares at $8.17,81.60,$8.17 ,2021,Sell,Nexa Resources ,81.6,-81.6,0,0,
52,24-Aug,Magna Market SellAug 24,$40.430.5 shares at $80.86,40.40,$80.86 ,2021,Sell,Magna ,40.4,-40.4,0,0,
53,24-Aug,Nexa Resources Limit SellAug 24,$78.2010 shares at $7.82,78.20,$7.82 ,2021,Sell,Nexa Resources ,78.2,-78.2,0,0,
54,24-Aug,QuantumScape Market SellAug 24,$21.101 share at $21.10,21.10,$21.10 ,2021,Sell,QuantumScape ,21.1,-21.1,0,0,
55,24-Aug,Trinseo Market SellAug 24,$48.561 share at $48.56,48.50,$48.56 ,2021,Sell,Trinseo ,48.5,-48.5,0,0,
56,24-Aug,Dupont De Nemours Market SellAug 24,$37.390.5 shares at $74.78,37.30,$74.78 ,2021,Sell,Dupont De Nemours ,37.3,-37.3,0,0,
57,24-Aug,Huntsman Market SellAug 24,$25.561 share at $25.56,25.50,$25.56 ,2021,Sell,Huntsman ,25.5,-25.5,0,0,
58,24-Aug,Nexa Resources Limit SellAug 24,$176.1823 shares at $7.66,176.10,$7.66 ,2021,Sell,Nexa Resources ,176.1,-176.1,0,0,
59,24-Aug,Qualcomm Market SellAug 24,$72.720.5 shares at $145.44,72.70,$145.44 ,2021,Sell,Qualcomm ,72.7,-72.7,0,0,
60,24-Aug,Nexa Resources Limit SellAug 24,$113.8515 shares at $7.59,113.80,$7.59 ,2021,Sell,Nexa Resources ,113.8,-113.8,0,0,
61,24-Aug,U.S. Xpress Market SellAug 24,$136.2715 shares at $9.08,136.20,$9.08 ,2021,Sell,U.S. Xpress ,136.2,-136.2,0,0,
62,24-Aug,Nexa Resources Market SellAug 24,$112.2815 shares at $7.49,112.20,$7.49 ,2021,Sell,Nexa Resources ,112.2,-112.2,0,0,
63,24-Aug,Porsche Limit SellAug 24,$30.123 shares at $10.04,30.10,$10.04 ,2021,Sell,Porsche ,30.1,-30.1,0,0,
64,24-Aug,ARK Innovation ETF Market SellAug 24,$121.051 share at $121.05,121.00,$121.05 ,2021,Sell,ARK Innovation ETF ,121,-121,0,0,
65,24-Aug,CIGNA Corporation Market SellAug 24,$106.070.5 shares at $212.14,106.00,$212.14 ,2021,Sell,CIGNA Corporation ,106,-106,0,0,
66,24-Aug,Airbnb Market SellAug 24,$78.840.5 shares at $157.68,78.80,$157.68 ,2021,Sell,Airbnb ,78.8,-78.8,0,0,
67,24-Aug,Dow Market SellAug 24,$63.271 share at $63.27,63.20,$63.27 ,2021,Sell,Dow ,63.2,-63.2,0,0,
68,24-Aug,Southwest Airlines Market SellAug 24,$50.241 share at $50.24,50.20,$50.24 ,2021,Sell,Southwest Airlines ,50.2,-50.2,0,0,
69,24-Aug,Azul Airlines Limit SellAug 24,$174.808 shares at $21.85,174.80,$21.85 ,2021,Sell,Azul Airlines ,174.8,-174.8,0,0,
70,24-Aug,Canadian Solar Market SellAug 24,$53.951.5 shares at $35.97,53.90,$35.97 ,2021,Sell,Canadian Solar ,53.9,-53.9,0,0,
71,24-Aug,Airbnb Market SellAug 24,$77.480.5 shares at $154.96,77.40,$154.96 ,2021,Sell,Airbnb ,77.4,-77.4,0,0,
72,24-Aug,Plug Power Limit SellAug 24,$260.5010 shares at $26.05,260.50,$26.05 ,2021,Sell,Plug Power ,260.5,-260.5,0,0,
73,24-Aug,Bloom Energy Market SellAug 24,$212.0710 shares at $21.21,212.00,$21.21 ,2021,Sell,Bloom Energy ,212,-212,0,0,
74,24-Aug,Ballard Power Systems Market SellAug 24,$165.5210 shares at $16.55,165.50,$16.55 ,2021,Sell,Ballard Power Systems ,165.5,-165.5,0,0,
76,24-Aug,Clean Energy Fuels Limit SellAug 24,$112.3615 shares at $7.49,112.30,$7.49 ,2021,Sell,Clean Energy Fuels ,112.3,-112.3,0,0,
77,24-Aug,Nexa Resources Limit SellAug 24,$109.5015 shares at $7.30,109.50,$7.30 ,2021,Sell,Nexa Resources ,109.5,-109.5,0,0,
78,24-Aug,Airbnb Market SellAug 24,$75.570.5 shares at $151.14,75.50,$151.14 ,2021,Sell,Airbnb ,75.5,-75.5,0,0,
79,24-Aug,Clean Energy Fuels Limit SellAug 24,$74.0010 shares at $7.40,74.00,$7.40 ,2021,Sell,Clean Energy Fuels ,74,-74,0,0,
80,24-Aug,Plug Power Market SellAug 24,$77.483 shares at $25.83,77.40,$25.83 ,2021,Sell,Plug Power ,77.4,-77.4,0,0,
81,24-Aug,Hyliion Market SellAug 24,$92.5010 shares at $9.25,92.50,$9.25 ,2021,Sell,Hyliion ,92.5,-92.5,0,0,
82,23-Aug,Energizer Market BuyAug 23,$39.021 share at $39.02,39.00,$39.02 ,2021,Buy,Energizer ,39,0,0,39,
83,23-Aug,Hyliion Market SellAug 23,$44.635 shares at $8.93,44.60,$8.93 ,2021,Sell,Hyliion ,44.6,-44.6,0,0,
84,23-Aug,Eastman Chemical Market SellAug 23,$112.051 share at $112.05,112.00,$112.05 ,2021,Sell,Eastman Chemical ,112,-112,0,0,
85,23-Aug,Desktop Metal Limit SellAug 23,$82.1010 shares at $8.21,82.10,$8.21 ,2021,Sell,Desktop Metal ,82.1,-82.1,0,0,
86,23-Aug,Taiwan Semiconductor Manufacturing Market SellAug 23,$111.201 share at $111.20,111.20,$111.20 ,2021,Sell,Taiwan Semiconductor Manufacturing ,111.2,-111.2,0,0,
87,23-Aug,Hyliion Limit SellAug 23,$87.9510 shares at $8.80,87.90,$8.80 ,2021,Sell,Hyliion ,87.9,-87.9,0,0,
88,23-Aug,Bloom Energy Market SellAug 23,$104.605 shares at $20.92,104.60,$20.92 ,2021,Sell,Bloom Energy ,104.6,-104.6,0,0,
89,23-Aug,Ballard Power Systems Market SellAug 23,$160.7010 shares at $16.07,160.70,$16.07 ,2021,Sell,Ballard Power Systems ,160.7,-160.7,0,0,
90,23-Aug,Bloom Energy Market SellAug 23,$103.685 shares at $20.74,103.60,$20.74 ,2021,Sell,Bloom Energy ,103.6,-103.6,0,0,
91,23-Aug,Plug Power Market SellAug 23,$125.405 shares at $25.08,125.40,$25.08 ,2021,Sell,Plug Power ,125.4,-125.4,0,0,
92,23-Aug,Sunrun Market SellAug 23,$44.271 share at $44.27,44.20,$44.27 ,2021,Sell,Sunrun ,44.2,-44.2,0,0,
93,23-Aug,Intel Market SellAug 23,$106.972 shares at $53.49,106.90,$53.49 ,2021,Sell,Intel ,106.9,-106.9,0,0,
94,23-Aug,ARK Genomic Revolution ETF Market SellAug 23,$164.872 shares at $82.44,164.80,$82.44 ,2021,Sell,ARK Genomic Revolution ETF ,164.8,-164.8,0,0,
95,23-Aug,ARK Innovation ETF Market SellAug 23,$119.211 share at $119.21,119.20,$119.21 ,2021,Sell,ARK Innovation ETF ,119.2,-119.2,0,0,
96,23-Aug,ARK Next Generation Internet Market SellAug 23,$74.230.5 shares at $148.46,74.20,$148.46 ,2021,Sell,ARK Next Generation Internet ,74.2,-74.2,0,0,
97,23-Aug,ARK Autonomous Technology & Robotics Market SellAug 23,$40.150.5 shares at $80.30,40.10,$80.30 ,2021,Sell,ARK Autonomous Technology & Robotics ,40.1,-40.1,0,0,
98,23-Aug,Azul Airlines Limit SellAug 23,$144.837 shares at $20.69,144.80,$20.69 ,2021,Sell,Azul Airlines ,144.8,-144.8,0,0,
99,23-Aug,Enphase Energy Market SellAug 23,$85.230.5 shares at $170.46,85.20,$170.46 ,2021,Sell,Enphase Energy ,85.2,-85.2,0,0,
100,23-Aug,CRISPR Market SellAug 23,$124.161 share at $124.16,124.10,$124.16 ,2021,Sell,CRISPR ,124.1,-124.1,0,0,
101,23-Aug,Ballard Power Systems Limit SellAug 23,$159.6010 shares at $15.96,159.60,$15.96 ,2021,Sell,Ballard Power Systems ,159.6,-159.6,0,0,
102,23-Aug,Hyliion Limit SellAug 23,$129.5315 shares at $8.64,129.50,$8.64 ,2021,Sell,Hyliion ,129.5,-129.5,0,0,
103,23-Aug,Desktop Metal Limit SellAug 23,$118.2015 shares at $7.88,118.20,$7.88 ,2021,Sell,Desktop Metal ,118.2,-118.2,0,0,
104,23-Aug,U.S. Xpress Limit BuyAug 23,$135.7515 shares at $9.05,135.70,$9.05 ,2021,Buy,U.S. Xpress ,135.7,0,0,135.7,
106,23-Aug,Velodyne Lidar Limit SellAug 23,$72.2510 shares at $7.23,72.20,$7.23 ,2021,Sell,Velodyne Lidar ,72.2,-72.2,0,0,
107,23-Aug,Lam Research Market SellAug 23,$116.670.2 shares at $583.35,116.60,$583.35 ,2021,Sell,Lam Research ,116.6,-116.6,0,0,
108,23-Aug,Deposit from Checking (non-interest)Aug 23,$500.00 ,,,2021,Deposit,N/A,,0,0,0,
109,20-Aug,First Trust Global Wind Energy ETF Limit SellAug 20,$43.042 shares at $21.52,43.00,$21.52 ,2021,Sell,First Trust Global Wind Energy ETF ,43,-43,0,0,
110,20-Aug,Ballard Power Systems Market BuyAug 20,$29.652 shares at $14.83,29.60,$14.83 ,2021,Buy,Ballard Power Systems ,29.6,0,0,29.6,
111,20-Aug,Lam Research Market BuyAug 20,$56.290.1 shares at $562.90,56.20,$562.90 ,2021,Buy,Lam Research ,56.2,0,0,56.2,
112,20-Aug,Nintendo Limit SellAug 20,$300.005 shares at $60.00,300.00,$60.00 ,2021,Sell,Nintendo ,300,-300,0,0,
113,20-Aug,Intel Market BuyAug 20,$51.701 share at $51.70,51.70,$51.70 ,2021,Buy,Intel ,51.7,0,0,51.7,
114,20-Aug,Hyliion Limit SellAug 20,$82.0010 shares at $8.20,82.00,$8.20 ,2021,Sell,Hyliion ,82,-82,0,0,
115,20-Aug,Hyliion Limit BuyAug 20,$24.573 shares at $8.19,24.50,$8.19 ,2021,Buy,Hyliion ,24.5,0,0,24.5,
116,20-Aug,LyondellBasell Market SellAug 20,$98.121 share at $98.12,98.10,$98.12 ,2021,Sell,LyondellBasell ,98.1,-98.1,0,0,
117,20-Aug,Verizon Limit SellAug 20,$111.302 shares at $55.65,111.30,$55.65 ,2021,Sell,Verizon ,111.3,-111.3,0,0,
118,20-Aug,Dupont De Nemours Market BuyAug 20,$36.370.5 shares at $72.74,36.30,$72.74 ,2021,Buy,Dupont De Nemours ,36.3,0,0,36.3,
119,20-Aug,Air Products & Chemicals Market BuyAug 20,$53.720.2 shares at $268.60,53.70,$268.60 ,2021,Buy,Air Products & Chemicals ,53.7,0,0,53.7,
120,20-Aug,Mazda Limit BuyAug 20,$16.364 shares at $4.09,16.30,$4.09 ,2021,Buy,Mazda ,16.3,0,0,16.3,
121,20-Aug,Toyota Market BuyAug 20,$32.960.2 shares at $164.80,32.90,$164.80 ,2021,Buy,Toyota ,32.9,0,0,32.9,
122,20-Aug,Subaru Limit BuyAug 20,$18.242 shares at $9.12,18.20,$9.12 ,2021,Buy,Subaru ,18.2,0,0,18.2,
123,20-Aug,Mazda Limit BuyAug 20,$16.404 shares at $4.10,16.40,$4.10 ,2021,Buy,Mazda ,16.4,0,0,16.4,
124,20-Aug,Subaru Market BuyAug 20,$18.282 shares at $9.14,18.20,$9.14 ,2021,Buy,Subaru ,18.2,0,0,18.2,
125,20-Aug,Roblox Market SellAug 20,$42.250.5 shares at $84.50,42.20,$84.50 ,2021,Sell,Roblox ,42.2,-42.2,0,0,
126,20-Aug,Tapestry Limit BuyAug 20,$39.501 share at $39.50,39.50,$39.50 ,2021,Buy,Tapestry ,39.5,0,0,39.5,
127,20-Aug,Rackspace Technology Market BuyAug 20,$13.171 share at $13.17,13.10,$13.17 ,2021,Buy,Rackspace Technology ,13.1,0,0,13.1,
128,20-Aug,Coinbase Limit SellAug 20,$258.001 share at $258.00,258.00,$258.00 ,2021,Sell,Coinbase ,258,-258,0,0,
130,20-Aug,Delta Air Lines Market SellAug 20,$38.251 share at $38.25,38.20,$38.25 ,2021,Sell,Delta Air Lines ,38.2,-38.2,0,0,
131,20-Aug,Porsche Limit BuyAug 20,$28.383 shares at $9.46,28.30,$9.46 ,2021,Buy,Porsche ,28.3,0,0,28.3,
132,20-Aug,Deposit from Checking (non-interest)Aug 20,$500.00 ,,,2021,Deposit,N/A,,0,0,0,
133,19-Aug,Hyliion Market BuyAug 19,$7.781 share at $7.78,7.70,$7.78 ,2021,Buy,Hyliion ,7.7,0,0,7.7,
134,19-Aug,Plug Power Market BuyAug 19,$23.751 share at $23.75,23.70,$23.75 ,2021,Buy,Plug Power ,23.7,0,0,23.7,
135,19-Aug,Airbnb Market BuyAug 19,$71.540.5 shares at $143.08,71.50,$143.08 ,2021,Buy,Airbnb ,71.5,0,0,71.5,
136,19-Aug,Plug Power Market BuyAug 19,$24.171 share at $24.17,24.10,$24.17 ,2021,Buy,Plug Power ,24.1,0,0,24.1,
137,19-Aug,LyondellBasell Market BuyAug 19,$48.310.5 shares at $96.62,48.30,$96.62 ,2021,Buy,LyondellBasell ,48.3,0,0,48.3,
138,19-Aug,Delta Air Lines Market BuyAug 19,$37.311 share at $37.31,37.30,$37.31 ,2021,Buy,Delta Air Lines ,37.3,0,0,37.3,
139,19-Aug,Huntsman Market BuyAug 19,$24.401 share at $24.40,24.40,$24.40 ,2021,Buy,Huntsman ,24.4,0,0,24.4,
140,19-Aug,Eastman Chemical Market BuyAug 19,$54.410.5 shares at $108.82,54.40,$108.82 ,2021,Buy,Eastman Chemical ,54.4,0,0,54.4,
141,19-Aug,Trinseo Market BuyAug 19,$45.011 share at $45.01,45.00,$45.01 ,2021,Buy,Trinseo ,45,0,0,45,
142,19-Aug,LyondellBasell Market BuyAug 19,$48.280.5 shares at $96.56,48.20,$96.56 ,2021,Buy,LyondellBasell ,48.2,0,0,48.2,
143,19-Aug,JetBlue Airways Market BuyAug 19,$28.152 shares at $14.08,28.10,$14.08 ,2021,Buy,JetBlue Airways ,28.1,0,0,28.1,
144,19-Aug,Azul Airlines Market BuyAug 19,$37.582 shares at $18.79,37.50,$18.79 ,2021,Buy,Azul Airlines ,37.5,0,0,37.5,
145,19-Aug,GoodRx Market SellAug 19,$67.982 shares at $33.99,67.90,$33.99 ,2021,Sell,GoodRx ,67.9,-67.9,0,0,
146,19-Aug,Canadian Solar Market BuyAug 19,$16.410.5 shares at $32.82,16.40,$32.82 ,2021,Buy,Canadian Solar ,16.4,0,0,16.4,
147,19-Aug,Magna Market BuyAug 19,$38.860.5 shares at $77.72,38.80,$77.72 ,2021,Buy,Magna ,38.8,0,0,38.8,
148,19-Aug,Velodyne Lidar Market BuyAug 19,$12.582 shares at $6.29,12.50,$6.29 ,2021,Buy,Velodyne Lidar ,12.5,0,0,12.5,
149,19-Aug,Clean Energy Fuels Market BuyAug 19,$6.611 share at $6.61,6.60,$6.61 ,2021,Buy,Clean Energy Fuels ,6.6,0,0,6.6,
150,19-Aug,Ballard Power Systems Market BuyAug 19,$15.071 share at $15.07,15.00,$15.07 ,2021,Buy,Ballard Power Systems ,15,0,0,15,
151,19-Aug,Plug Power Market BuyAug 19,$24.441 share at $24.44,24.40,$24.44 ,2021,Buy,Plug Power ,24.4,0,0,24.4,
152,19-Aug,Bloom Energy Market BuyAug 19,$19.421 share at $19.42,19.40,$19.42 ,2021,Buy,Bloom Energy ,19.4,0,0,19.4,
153,19-Aug,Bloom Energy Market BuyAug 19,$19.651 share at $19.65,19.60,$19.65 ,2021,Buy,Bloom Energy ,19.6,0,0,19.6,
154,19-Aug,Corsair Gaming Market BuyAug 19,$25.791 share at $25.79,25.70,$25.79 ,2021,Buy,Corsair Gaming ,25.7,0,0,25.7,
156,19-Aug,Magna Market BuyAug 19,$79.141 share at $79.14,79.10,$79.14 ,2021,Buy,Magna ,79.1,0,0,79.1,
157,19-Aug,QuantumScape Market BuyAug 19,$19.531 share at $19.53,19.50,$19.53 ,2021,Buy,QuantumScape ,19.5,0,0,19.5,
158,19-Aug,Qualcomm Market BuyAug 19,$69.520.5 shares at $139.04,69.50,$139.04 ,2021,Buy,Qualcomm ,69.5,0,0,69.5,
159,19-Aug,Toyota Market BuyAug 19,$34.000.2 shares at $170.00,34.00,$170.00 ,2021,Buy,Toyota ,34,0,0,34,
160,19-Aug,Intel Market BuyAug 19,$51.771 share at $51.77,51.70,$51.77 ,2021,Buy,Intel ,51.7,0,0,51.7,
161,19-Aug,Taiwan Semiconductor Manufacturing Market BuyAug 19,$54.020.5 shares at $108.04,54.00,$108.04 ,2021,Buy,Taiwan Semiconductor Manufacturing ,54,0,0,54,
162,19-Aug,Canadian Solar Market BuyAug 19,$33.711 share at $33.71,33.70,$33.71 ,2021,Buy,Canadian Solar ,33.7,0,0,33.7,
163,19-Aug,American Axle & Manufacturing Limit BuyAug 19,$33.874 shares at $8.47,33.80,$8.47 ,2021,Buy,American Axle & Manufacturing ,33.8,0,0,33.8,
164,19-Aug,Trinseo Market BuyAug 19,$46.551 share at $46.55,46.50,$46.55 ,2021,Buy,Trinseo ,46.5,0,0,46.5,
165,19-Aug,Porsche Limit BuyAug 19,$19.222 shares at $9.61,19.20,$9.61 ,2021,Buy,Porsche ,19.2,0,0,19.2,
166,19-Aug,Coinbase Market BuyAug 19,$48.400.2 shares at $242.00,48.40,$242.00 ,2021,Buy,Coinbase ,48.4,0,0,48.4,
167,19-Aug,Bloom Energy Market BuyAug 19,$19.991 share at $19.99,19.90,$19.99 ,2021,Buy,Bloom Energy ,19.9,0,0,19.9,
168,19-Aug,Lam Research Market BuyAug 19,$56.560.1 shares at $565.60,56.50,$565.60 ,2021,Buy,Lam Research ,56.5,0,0,56.5,
169,19-Aug,Skyworks Market BuyAug 19,$34.820.2 shares at $174.10,34.80,$174.10 ,2021,Buy,Skyworks ,34.8,0,0,34.8,
170,19-Aug,Rackspace Technology Market BuyAug 19,$39.813 shares at $13.27,39.80,$13.27 ,2021,Buy,Rackspace Technology ,39.8,0,0,39.8,
171,19-Aug,Porsche Limit BuyAug 19,$28.893 shares at $9.63,28.80,$9.63 ,2021,Buy,Porsche ,28.8,0,0,28.8,
172,19-Aug,Air Products & Chemicals Market BuyAug 19,$26.970.1 shares at $269.70,26.90,$269.70 ,2021,Buy,Air Products & Chemicals ,26.9,0,0,26.9,
173,19-Aug,Taiwan Semiconductor Manufacturing Market BuyAug 19,$54.460.5 shares at $108.92,54.40,$108.92 ,2021,Buy,Taiwan Semiconductor Manufacturing ,54.4,0,0,54.4,
174,18-Aug,Coinbase Market BuyAug 18,$123.200.5 shares at $246.40,123.20,$246.40 ,2021,Buy,Coinbase ,123.2,0,0,123.2,
175,18-Aug,iShares Global Clean Energy ETF Limit SellAug 18,$67.323 shares at $22.44,67.30,$22.44 ,2021,Sell,iShares Global Clean Energy ETF ,67.3,-67.3,0,0,
176,18-Aug,Bloom Energy Market SellAug 18,$146.597 shares at $20.94,146.50,$20.94 ,2021,Sell,Bloom Energy ,146.5,-146.5,0,0,
177,18-Aug,Ballard Power Systems Market SellAug 18,$109.137 shares at $15.59,109.10,$15.59 ,2021,Sell,Ballard Power Systems ,109.1,-109.1,0,0,
178,18-Aug,Trinseo Market BuyAug 18,$47.821 share at $47.82,47.80,$47.82 ,2021,Buy,Trinseo ,47.8,0,0,47.8,
179,18-Aug,Dupont De Nemours Market BuyAug 18,$74.551 share at $74.55,74.50,$74.55 ,2021,Buy,Dupont De Nemours ,74.5,0,0,74.5,
180,18-Aug,Nexa Resources Limit BuyAug 18,$68.2010 shares at $6.82,68.20,$6.82 ,2021,Buy,Nexa Resources ,68.2,0,0,68.2,
181,18-Aug,Air Products & Chemicals Market BuyAug 18,$40.900.15 shares at $272.67,40.90,$272.67 ,2021,Buy,Air Products & Chemicals ,40.9,0,0,40.9,
182,18-Aug,Tesla Market SellAug 18,$103.600.15 shares at $690.67,103.60,$690.67 ,2021,Sell,Tesla ,103.6,-103.6,0,0,
183,18-Aug,Air Products & Chemicals Market BuyAug 18,$41.390.15 shares at $275.93,41.30,$275.93 ,2021,Buy,Air Products & Chemicals ,41.3,0,0,41.3,
